symbol,name,price,Volume,turnover,blue_daily,blue_days,lired_daily,lired_days,blue_weekly,blue_weeks,lired_weekly,lired_weeks
SH605286,同力日升,45.67,43752.0,199.815384,0.0,0,-189.3786114379143,2,0.0,0,-350.0,5
SH605296,神农集团,29.33,51737.0,151.744621,0.0,0,0.0,3,0.0,0,0.0,0
SH605268,王力安防,8.94,41521.0,37.119774,0.0,0,-264.8712418628351,3,0.0,0,0.0,0
SH605288,凯迪股份,39.59,6908.0,27.348772000000004,0.0,0,0.0,0,0.0,0,0.0,2
SH605319,无锡振华,35.78,51828.0,185.440584,0.0,0,0.0,0,0.0,0,0.0,3
SH605228,神通科技,13.03,116955.0,152.39236499999998,0.0,0,0.0,1,0.0,0,0.0,2
SH605368,蓝天燃气,10.61,31689.0,33.622029,0.0,0,0.0,0,0.0,2,0.0,0
SH605376,博迁新材,42.66,61257.0,261.32236199999994,0.0,0,0.0,0,0.0,0,0.0,3
SH605318,法狮龙,27.08,24595.0,66.60325999999999,0.0,0,-0.033439142476052876,0,0.0,0,-193.60923003432444,3
SH605298,必得科技,15.68,38436.0,60.267648,0.0,0,0.0,3,0.0,0,0.0,0
SH605399,晨光新材,12.68,138375.0,175.4595,0.0,0,0.0,3,0.0,0,0.0,0
SH605555,德昌股份,27.37,107124.0,293.19838799999997,0.0,0,0.0,0,0.0,0,0.0,2
SH605389,长龄液压,31.6,13886.0,43.879760000000005,0.0,0,0.0,0,0.0,0,0.0,4
SH688002,睿创微纳,63.71,59244.0,377.443524,0.0,0,0.0,2,0.0,0,0.0,4
SH688003,天准科技,59.38,47886.0,284.34706800000004,0.0,0,0.0,1,0.0,0,0.0,3
SH688022,瀚川智能,17.91,151729.0,271.746639,0.0,0,-142.7265955423157,0,0.0,0,-215.53544142168272,2
SH688038,中科通达,16.79,54337.0,91.23182299999999,0.0,0,0.0,0,0.0,0,0.0,2
SH688021,奥福环保,12.6,10616.0,13.37616,0.0,0,0.0,3,0.0,0,0.0,0
SH688057,金达莱,11.79,10000.0,11.79,0.0,0,-183.27783835853162,3,0.0,0,0.0,0
SH688080,映翰通,53.28,19725.0,105.0948,0.0,0,0.0,0,0.0,0,0.0,2
SH688071,华依科技,42.95,14557.0,62.522315,0.0,0,0.0,0,0.0,0,0.0,2
SH688081,兴图新科,21.61,12821.0,27.706181,0.0,0,-265.1130400243539,2,0.0,0,-253.17497816240626,3
SH688092,爱科科技,24.34,24034.0,58.49875599999999,0.0,0,-203.35018547140314,3,0.0,0,0.0,0
SH688097,博众精工,34.29,98138.0,336.515202,0.0,0,0.0,0,0.0,0,0.0,4
SH688096,京源环保,15.98,142359.0,227.489682,0.0,0,-0.13676733187690737,0,0.0,0,-161.80170957127712,5
SH688114,华大智造,91.16,36806.0,335.523496,0.0,0,0.0,0,0.0,0,0.0,2
SH688093,世华科技,24.3,32924.0,80.00532000000001,0.0,0,0.0,0,0.0,0,0.0,2
SH688110,东芯股份,32.09,159397.0,511.50497300000006,0.0,0,0.0,0,0.0,0,0.0,3
SH688130,晶华微,29.07,26440.0,76.86108,0.0,0,0.0,3,0.0,0,0.0,0
SH688143,长盈通,35.07,50790.0,178.12053,0.0,0,0.0,3,0.0,0,0.0,3
SH688160,步科股份,109.95,17137.0,188.42131500000002,0.0,0,0.0,1,0.0,0,0.0,2
SH688167,炬光科技,89.49,63820.0,571.12518,0.0,0,-59.36446114059675,0,0.0,0,-278.79721775769184,2
SH688182,灿勤科技,29.88,115469.0,345.021372,0.0,0,0.0,0,0.0,0,0.0,3
SH688186,广大特材,22.08,68381.0,150.98524799999998,0.0,0,0.0,1,0.0,0,0.0,3
SH688200,华峰测控,143.0,12345.0,176.5335,0.0,0,0.0,0,0.0,0,0.0,3
SH688213,思特威,101.5,79145.0,803.32175,0.0,0,0.0,0,0.0,0,0.0,2
SH688220,翱捷科技,110.26,113283.0,1249.058358,0.0,0,0.0,0,0.0,0,0.0,2
SH688226,威腾电气,42.78,30885.0,132.12603000000001,0.0,0,-307.36736214613694,4,0.0,0,-138.23714680344398,0
SH688235,百济神州,224.28,24366.0,546.4806480000001,0.0,0,0.0,0,0.0,0,0.0,2
SH688244,永信至诚,55.0,22114.0,121.627,0.0,0,0.0,0,0.0,0,0.0,3
SH688253,英诺特,37.2,39220.0,145.8984,0.0,0,-248.6692723493646,3,0.0,0,0.0,0
SH688257,新锐股份,21.72,27010.0,58.66571999999999,0.0,0,0.0,0,0.0,0,0.0,3
SH688256,寒武纪,750.0,38602.0,2895.15,0.0,0,0.0,0,0.0,0,0.0,2
SH688258,卓易信息,49.46,40154.0,198.601684,0.0,0,0.0,0,0.0,0,0.0,2
SH688251,井松智能,22.44,48362.0,108.524328,0.0,0,-159.08340960280754,2,0.0,0,-216.87968225833836,3
SH688267,中触媒,26.48,33866.0,89.67716800000001,0.0,0,-233.0134035791788,1,0.0,0,-161.38138599616,3
SH688273,麦澜德,29.87,23219.0,69.355153,0.0,0,0.0,3,0.0,0,0.0,0
SH688279,峰岹科技,261.8,12658.0,331.38644000000005,0.0,0,0.0,0,0.0,0,0.0,2
SH688282,*ST导航,43.96,10740.0,47.21304,0.0,0,-203.8843654356477,4,0.0,0,-308.6590248318495,3
SH688290,景业智能,66.2,53555.0,354.5341,0.0,0,0.0,0,0.0,0,0.0,2
SH688288,鸿泉物联,36.0,104614.0,376.6104,0.0,0,-265.7713864761981,5,0.0,0,-274.63321876889273,3
SH688306,均普智能,12.2,304756.0,371.80231999999995,0.0,0,0.0,0,0.0,0,0.0,3
SH688309,恒誉环保,16.14,6251.0,10.089114,0.0,0,-259.10933095816017,4,0.0,0,-103.8855926682399,0
SH688307,中润光学,30.67,25814.0,79.171538,0.0,0,0.0,0,0.0,0,0.0,2
SH688319,欧林生物,14.88,41028.0,61.049664,0.0,0,0.0,0,0.0,0,0.0,2
SH688327,云从科技,18.37,502023.0,922.2162509999999,0.0,0,0.0,0,0.0,0,0.0,2
SH688335,复洁环保,9.82,11711.0,11.500202,0.0,0,-318.9108123200551,3,0.0,0,0.0,0
SH688336,三生国健,28.9,52351.0,151.29439,0.0,0,-244.59179162581964,1,0.0,0,-221.54391210291445,3
SH688343,云天励飞,65.41,102090.0,667.77069,0.0,0,0.0,0,0.0,0,0.0,2
SH688359,三孚新科,57.07,13904.0,79.350128,0.0,0,0.0,3,0.0,0,0.0,2
SH688360,德马科技,24.55,61621.0,151.27955500000002,0.0,0,0.0,0,0.0,0,0.0,2
