symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired
SZ001279,强邦新材,39.6,83339.0,330.02244,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ002180,纳思达,22.36,121243.0,271.099348,0.0,0,0.0,0.0,2,133.84050127104092,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ002332,仙琚制药,9.18,118403.0,108.693954,0.0,0,0.0,0.0,2,159.96637511771868,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ002493,荣盛石化,8.0,147785.0,118.228,0.0,0,0.0,0.0,2,151.13435697741932,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ002984,森麒麟,20.02,84769.0,169.707538,0.0,0,0.0,0.0,2,122.92751196279968,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ300308,中际旭创,77.61,184925.0,1435.202925,0.0,0,0.0,0.0,2,116.99585072975617,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ300394,天孚通信,65.7,87652.0,575.87364,0.0,0,0.0,0.0,2,122.57011192953374,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ300423,昇辉科技,8.52,232628.0,198.19905599999998,0.0,3,200.00000000000003,0.0,0,0.0,-0.03966261258416072,0,0,0.0,0,0,True,False,False,False,False,False
SZ300565,科信技术,10.36,105617.0,109.41921199999999,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ300763,锦浪科技,49.5,84799.0,419.75505,0.0,0,0.0,0.0,2,137.25988595233227,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ300832,新产业,51.12,48781.0,249.36847199999997,0.0,0,0.0,106.84594328642854,2,106.84594328642854,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ300905,宝丽迪,27.02,144259.0,389.787818,0.0,0,0.0,0.0,2,113.7406519164408,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ300985,致远新能,16.18,67566.0,109.32178799999998,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ301232,飞沃科技,27.63,115280.0,318.51864,0.0,0,0.0,0.0,2,199.99999999999997,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ301381,赛维时代,20.78,58653.0,121.88093400000001,0.0,0,0.0,0.0,2,168.95500246534505,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ301558,三态股份,10.25,1097548.0,1124.9867,0.0,0,0.0,0.0,2,169.95937154792173,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ301617,博苑股份,48.31,29933.0,144.606323,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SZ301618,长联科技,86.29,52562.0,453.55749800000007,0.0,0,0.0,0.0,2,200.0,-44.24949723591252,0,0,0.0,0,0,False,True,False,False,False,False
SH600256,广汇能源,5.51,318825.0,175.672575,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH600406,国电南瑞,23.6,217065.0,512.2734,0.0,0,0.0,0.0,3,106.96165162367124,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH600968,海油发展,3.83,389196.0,149.06206799999998,0.0,0,0.0,0.0,2,180.69699706066484,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH601156,东航物流,12.45,252621.0,314.51314499999995,0.0,0,0.0,0.0,2,132.35437480575084,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH601857,中国石油,7.99,1022840.0,817.2491600000001,0.0,0,0.0,0.0,2,116.1833444062592,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH603194,中力股份,32.73,35620.0,116.58425999999999,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH603205,健尔康,37.23,56026.0,208.58479799999998,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH603283,赛腾股份,44.91,42249.0,189.74025899999998,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH603395,红四方,49.3,76247.0,375.89770999999996,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH603392,万泰生物,69.4,37483.0,260.13202,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH603389,亚振家居,6.94,146199.0,101.462106,0.0,0,0.0,0.0,2,131.45653358980047,-48.40724005996555,0,0,0.0,0,0,False,True,False,False,False,False
SH688169,石头科技,183.79,20374.0,374.453746,0.0,0,0.0,0.0,2,118.34498858164432,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH688408,中信博,46.08,37551.0,173.03500799999998,0.0,0,0.0,0.0,2,185.63195584618447,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH688602,康鹏科技,8.82,600801.0,529.906482,0.0,0,0.0,0.0,2,199.99999999999997,-97.01912959469458,0,0,0.0,0,0,False,True,False,False,False,False
SH688658,悦康药业,16.58,137335.0,227.70143,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH688717,艾罗能源,49.61,23743.0,117.789023,0.0,0,0.0,0.0,2,131.25115727773996,0.0,0,0,0.0,0,0,False,True,False,False,False,False
SH688772,珠海冠宇,12.87,91188.0,117.35895599999998,0.0,0,0.0,0.0,2,115.97079712025466,0.0,0,0,0.0,0,0,False,True,False,False,False,False
