symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
000002.SZ,万科A,4.87,2564034.8,1248.6849476,0.0,2,177.4965816026552,200.0,4,200.0,False,True,False,0,0,0,1,False,True,-87.28804634017897,-177.6255707762554
000048.SZ,京基智农,13.14,89581.08,117.70953912000002,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,-10.802469135802795,-164.2810214654213
000066.SZ,中国长城,13.96,426763.82,595.7622927200001,142.21599502960447,3,142.21599502960447,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-182.92919495635329,-161.66295346588757
000090.SZ,天健集团,3.7,288149.47,106.61530389999999,200.0,3,200.0,0.0,0,0.0,True,False,False,0,0,1,0,True,False,-152.24694589877862,-42.732317865155395
000403.SZ,派林生物,13.38,142708.39,190.94382582000003,196.8199766510837,5,196.8199766510837,107.68798123535163,2,107.68798123535163,True,True,True,0,0,1,1,True,True,-135.57121149330015,-216.0308515766549
000568.SZ,泸州老窖,122.81,95193.84,1169.07554904,0.0,3,125.21478153790963,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-69.4193956652429,-185.7810024184803
000625.SZ,长安汽车,11.55,304651.41,351.87237854999995,0.0,3,131.10159950256707,200.0,3,200.0,True,True,True,0,1,1,1,True,True,-145.05017629509314,-165.562551327676
000709.SZ,河钢股份,2.28,915403.81,208.71206868000002,186.31592152875297,4,186.31592152875297,0.0,0,0.0,True,False,False,1,0,1,1,True,True,-70.40498442367627,-145.5419903810577
000818.SZ,航锦科技,18.88,98804.45,186.5428016,76.96786536844337,0,0.0,188.53045653298975,3,188.53045653298975,False,True,False,1,0,1,1,True,True,-172.74969821025533,-148.84716333535255
000880.SZ,潍柴重机,26.69,117362.44,313.24035236000003,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,-15.8830668566295,-66.31592110904666
000876.SZ,新希望,9.06,211853.02,191.93883612,0.0,3,156.5045256619946,200.0,2,200.0,True,True,True,1,0,1,1,True,True,-75.77971561002434,-195.3901748217595
000858.SZ,五粮液,112.45,215686.29,2425.39233105,0.0,3,152.51624596850954,159.4678153125199,2,159.4678153125199,True,True,True,0,0,1,1,True,True,-66.50219790078079,-213.57539628776578
000850.SZ,华茂股份,4.77,522122.2,249.05228939999998,142.7458434147904,3,142.7458434147904,0.0,0,0.0,True,False,False,0,0,0,0,False,False,19.81378026070703,8.95486362539263
000937.SZ,冀中能源,5.37,318491.11,171.02972607,188.54696392508464,6,188.54696392508464,119.0586532126318,1,119.0586532126318,True,False,False,0,0,1,1,True,True,-142.3534235342355,-215.38461538461578
000983.SZ,山西焦煤,6.56,377571.1,247.68664159999997,0.0,4,104.2952214426754,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-73.72107567229526,-145.77942082563183
001328.SZ,登康口腔,38.52,29815.26,114.84838152,0.0,0,0.0,0.0,2,164.06443808706672,False,True,False,0,0,0,1,False,True,173.77236263551885,-17.2266003041619
001391.SZ,国货航,6.25,191803.95,119.87746875,82.98614488757482,0,0.0,200.0,4,200.0,False,True,False,0,0,1,1,True,True,-34.18512208972387,-153.7659783677487
002007.SZ,华兰生物,15.28,80692.15,123.29760519999999,0.0,3,140.5925394569506,109.35678524483033,1,109.35678524483033,True,False,False,0,0,1,1,True,True,-71.3388815885528,-153.93784589186848
002025.SZ,航天电器,46.38,283643.83,1315.5400835400003,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,108.29711194822764,-19.108248699529263
002053.SZ,云南能投,12.21,208130.41,254.12723061000003,0.0,3,141.48674970441397,0.0,0,0.0,True,False,False,1,0,1,0,True,False,55.391167899573844,-102.4287675935463
002120.SZ,韵达股份,6.93,206646.22,143.20583046,0.0,3,196.29925288023287,0.0,0,0.0,True,False,False,0,1,1,1,True,True,-2.8629856850718243,-138.1974248927042
002124.SZ,天邦食品,2.85,693060.58,197.5222653,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,147.38766980146153,-46.66666666666648
002123.SZ,梦网科技,12.26,510608.7,626.0062662,0.0,1,113.4023506763327,200.00000000000003,2,200.00000000000003,False,True,False,0,0,0,0,False,False,123.33107548731817,-47.78208440999123
