symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
000002.SZ,万科A,5.2,1686909.29,877.1928308,0.0,5,183.90399428310502,0.0,3,200.0,0.0,0,0,0.0,0,0,True,True,False,False,True,False,0,0,1,1,True,True,-140.4138310304528,-202.06398348813212
000048.SZ,京基智农,13.17,143469.98,188.94996366,91.04174157842274,0,0.0,200.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-105.09238310708908,-264.2552684133653
000403.SZ,派林生物,14.75,80350.39,118.51682525,124.21949012713112,1,124.21949012713112,115.22923382626249,2,115.22923382626249,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,0,1,True,True,-96.13191554939131,-157.55386056469928
000712.SZ,锦龙股份,12.76,88043.38,112.34335288,0.0,3,145.8035650246949,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,1,1,True,True,-110.46487387950758,-160.9158103479359
000709.SZ,河钢股份,2.33,835398.09,194.64775497000002,0.0,3,138.13116279007932,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-53.54927636113022,-138.16179584921662
000728.SZ,国元证券,8.19,170364.29,139.52835351,0.0,3,171.55075477726703,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,2,True,True,-63.99108138238579,-132.9502716255745
000998.SZ,隆平高科,9.7,111805.69,108.4515193,0.0,4,111.50190850303564,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,0,1,True,True,-74.84276729559724,-108.16081608160746
002025.SZ,航天电器,42.6,156353.34,666.0652284,0.0,3,139.7460631318757,0.0,3,200.0,0.0,0,0,0.0,0,0,True,True,False,False,True,False,1,1,1,1,True,True,-14.199633219806334,-90.5210487350336
002120.SZ,韵达股份,6.87,178828.79,122.85537873,186.26104397652065,5,186.26104397652065,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,0,1,True,True,-99.9999999999995,-158.63863863863827
002124.SZ,天邦食品,2.73,398932.25,108.90850425,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-52.525252525252554,-119.61234378984975
002180.SZ,纳思达,18.84,229273.98,431.95217832000003,0.0,2,101.94994090364868,0.0,3,165.99043227231684,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,1,0,1,True,True,-61.69082535107803,-138.8825788306561
002179.SZ,中航光电,33.72,131562.68,443.62935696,0.0,2,152.34189635293382,0.0,2,170.82861407494488,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,1,1,1,True,True,-102.90365427980119,-108.9878858929268
002252.SZ,上海莱士,6.61,178735.08,118.14388788000001,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-60.287081339713005,-117.56931012250179
