symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
000002.SZ,万科A,4.76,1154243.32,549.41982032,0.0,0,0,0.0,3,200.0,False,True,False,0,1,1,1,True,True,-135.34806795970644,-116.62385321100908
000048.SZ,京基智农,14.2,188102.66,267.1057772,0.0,0,0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,191.27134724857777,-74.29979982463976
000403.SZ,派林生物,14.01,387614.27,543.04759227,184.74006440076238,0,0,113.32506676824322,5,113.32506676824322,False,True,False,0,1,0,1,False,True,18.395969498910507,-117.97158403869398
000625.SZ,长安汽车,11.93,639014.08,762.34379744,0.0,0,0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,64.21090646442684,-63.35267894692568
000815.SZ,美利云,11.3,178264.22,201.43856860000002,0.0,0,0,0.0,3,199.99999999999997,False,True,False,0,0,1,1,True,True,19.522222222222663,-129.2612487725987
000818.SZ,航锦科技,19.07,91153.19,173.82913333000002,0.0,0,0,0.0,3,199.99999999999997,False,True,False,0,0,1,1,True,True,-38.26242599476738,-129.79930191972076
000858.SZ,五粮液,109.28,117904.69,1288.46245232,104.1858057480373,0,0,153.89317752548413,3,153.89317752548413,False,True,False,0,0,1,1,True,True,-128.55931176541915,-163.6394881022177
000860.SZ,顺鑫农业,14.74,78341.55,115.47544470000001,139.414465997952,0,0,184.27472576200927,4,184.27472576200927,False,True,False,0,0,1,1,True,True,-205.12040557668107,-153.45558180522778
000876.SZ,新希望,9.1,158621.31,144.3453921,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-16.033755274261843,-111.61717832578414
002123.SZ,梦网科技,12.75,413942.29,527.77641975,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,69.11499096929566,60.23528006688183
002180.SZ,纳思达,19.35,203800.31,394.35359985,0.0,0,0,0.0,2,165.03702820835895,False,True,False,0,1,0,1,False,True,110.6189129751808,-56.96517412935312
002179.SZ,中航光电,33.75,233734.18,788.8528575,0.0,0,0,0.0,3,187.12271241989887,False,True,False,0,0,0,0,False,False,50.31291484923044,-74.70081412073564
002165.SZ,红宝丽,7.79,141037.94,109.86855526000001,0.0,0,0,0.0,3,173.51625683680012,False,True,False,0,0,1,1,True,True,72.85513361462758,-90.16988289625586
002252.SZ,上海莱士,6.46,406420.86,262.54787555999997,0.0,0,0,0.0,4,200.0,False,True,False,0,0,0,1,False,True,-16.150576806315513,-132.19473890852026
002568.SZ,百润股份,21.42,51027.88,109.30171895999999,0.0,0,0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,-63.24762946754158,-124.20496802022917
002605.SZ,姚记科技,23.52,43455.0,102.20616,0.0,0,0,0.0,3,188.5388861667041,False,True,False,0,1,1,1,True,True,143.0845771144303,-82.27580575435915
002727.SZ,一心堂,13.68,126134.38,172.55183184,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,78.50433618981454,29.369333598041155
