symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
000002.SZ,万科A,4.87,1761637.65,857.9175355499999,0.0,0,0,0.0,4,200.00000000000003,False,True,False,0,0,0,1,False,True,-74.9115136373096,-136.1754966887417
000028.SZ,国药一致,25.11,44517.21,111.78271431,0.0,0,0,200.0,2,200.0,False,True,False,1,0,1,0,True,False,-3.551731744981662,-99.28256070640111
000056.SZ,皇庭国际,2.08,636698.0,132.433184,0.0,0,0,200.0,2,200.0,False,True,False,0,0,1,1,True,True,-93.10964649490701,-163.15952824332717
000403.SZ,派林生物,13.35,82323.34,109.90165889999999,0.0,0,0,109.60930063411142,4,109.60930063411142,False,True,False,0,0,0,1,False,True,-86.60334916270956,-186.15707685846272
000503.SZ,国新健康,9.31,161365.57,150.23134567000002,0.0,0,0,200.0,2,200.0,False,True,False,1,1,1,1,True,True,-56.58567272155387,-207.666666666666
000516.SZ,国际医学,4.68,390359.83,182.68840044,0.0,0,0,200.0,3,200.0,False,True,False,0,0,1,1,True,True,-13.94636015325679,-139.7689768976894
000625.SZ,长安汽车,11.67,628238.3,733.1540961000001,0.0,0,0,0.0,3,200.0,False,True,False,0,1,1,1,True,True,-51.79999999999957,-85.60654754252859
000710.SZ,贝瑞基因,11.75,189944.54,223.18483450000002,0.0,0,0,0.0,2,200.0,False,True,False,1,1,1,1,True,True,34.33533734134986,-121.7691386717377
000818.SZ,航锦科技,18.71,110208.75,206.20057125000002,0.0,0,0,200.0,4,200.0,False,True,False,1,0,1,1,True,True,-93.55877616747178,-175.31432261710162
000858.SZ,五粮液,110.43,124628.5,1376.2725255,0.0,0,0,0.0,2,159.31366036588057,False,True,False,0,0,0,1,False,True,-106.88261618753583,-174.59067830452364
000876.SZ,新希望,9.13,169481.57,154.73667341000004,0.0,0,0,0.0,2,200.0,False,True,False,1,0,1,1,True,True,-22.52957550452348,-135.23150612027683
