symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired
000030.SZ,富奥股份,5.65,177239.4,100.140261,0.0,3,149.1818440228998,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
000423.SZ,东阿阿胶,47.71,89626.2,427.60660020000006,52.07288828788296,0,0.0,197.01469765117878,3,197.01469765117878,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
000429.SZ,粤高速A,11.05,95705.9,105.7550195,191.80931326695847,4,191.80931326695847,147.9292637124995,4,147.9292637124995,0.0,0,0,0.0,0,0.0,True,True,False,False,True,False
000627.SZ,*ST天茂,1.58,3645166.99,575.93638442,0.0,2,118.08679127894953,0.0,4,200.0,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
000786.SZ,北新建材,25.16,107428.39,270.28982924,197.17495749275204,2,197.17495749275204,200.0,3,200.0,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
000999.SZ,华润三九,29.1,117813.82,342.83821620000003,76.11193495032981,0,0.0,158.80513070888517,3,158.80513070888517,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
001965.SZ,招商公路,10.03,248851.03,249.59758309,0.0,1,130.1517795446263,0.0,4,163.5618941985057,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
002149.SZ,西部材料,17.33,164550.84,285.16660571999995,170.91948349259326,3,170.91948349259326,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
002318.SZ,久立特材,22.17,146602.0,325.016634,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
002584.SZ,西陇科学,8.51,175135.39,149.04021689,194.9829858257058,3,194.9829858257058,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
002717.SZ,ST岭南,1.67,1043830.53,174.31969851,0.0,2,105.54308466147569,0.0,3,200.0,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
002899.SZ,英派斯,21.7,148237.45,321.6752665,0.0,4,162.50049637082068,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
003041.SZ,真爱美家,24.3,42911.74,104.2755282,0.0,0,0.0,0.0,2,159.50915757390163,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
300183.SZ,东软载波,17.25,79721.03,137.51877675,0.0,3,168.2448121319498,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
300204.SZ,舒泰神,38.14,206001.93,785.69136102,0.0,3,134.05452496190054,0.0,0,0.0,0.0,0,0,0.0,1,-121.67320370373581,True,False,False,False,False,False
300294.SZ,博雅生物,25.5,46523.35,118.63454250000001,152.66910838546295,3,152.66910838546295,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
300511.SZ,雪榕生物,5.89,230905.4,136.00328059999998,0.0,4,200.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
300583.SZ,赛托生物,16.25,76138.6,123.725225,0.0,1,130.34343866791104,0.0,3,199.99999999999997,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
300793.SZ,佳禾智能,17.7,122369.6,216.594192,0.0,3,155.09207081595576,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
300942.SZ,易瑞生物,11.47,112409.0,128.933123,0.0,3,133.24665103430377,0.0,0,0.0,0.0,0,0,0.0,3,-200.0,True,False,False,True,False,False
600256.SH,广汇能源,5.08,540444.3,274.54570440000003,0.0,0,0.0,0.0,3,199.99999999999997,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
600295.SH,鄂尔多斯,9.87,118001.94,116.46791477999999,173.58780038876156,3,173.58780038876156,0.0,0,0.0,0.0,0,0,0.0,1,-200.0,True,False,False,False,False,False
600316.SH,洪都航空,34.35,112467.88,386.32716780000004,200.0,3,200.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
600350.SH,山东高速,8.84,149277.43,131.96124812,125.85168784027374,2,125.85168784027374,200.00000000000003,5,200.00000000000003,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
600377.SH,宁沪高速,12.85,94299.96,121.17544860000001,197.42773703196693,5,197.42773703196693,83.56413973688257,0,0.0,0.0,0,0,0.0,0,0.0,True,False,False,False,False,False
600398.SH,海澜之家,6.69,456830.0,305.61927000000003,80.05199249612295,0,0.0,200.0,2,200.0,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
600642.SH,申能股份,7.87,194961.82,153.43495234,0.0,0,0.0,0.0,2,200.00000000000003,0.0,0,0,0.0,0,0.0,False,True,False,False,False,False
600674.SH,川投能源,14.29,417548.56,596.6768922399999,198.4981688034317,3,198.4981688034317,167.826358635786,3,167.826358635786,0.0,0,0,0.0,0,0.0,True,True,False,False,True,False
