symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired
000012.SZ,南玻A,4.94,331883.44,163.95041936,0.0,0,0.0,0.0,2,143.28824440233964,-0.03942842889649267,0,0.0,0.0,0,0.0,False,True,False,False,False,False
000002.SZ,万科A,6.76,2517029.13,1701.51169188,0.0,0,0.0,0.0,2,200.0,-130.12049730339578,1,-130.12049730339578,0.0,0,0.0,False,True,False,False,False,False
000423.SZ,东阿阿胶,50.25,96248.44,483.648411,60.67557129694775,0,0.0,179.60505357169473,4,179.60505357169473,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
000596.SZ,古井贡酒,137.99,24987.36,344.80058064,0.0,0,0.0,0.0,2,188.53888616670412,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
000786.SZ,北新建材,26.15,191446.15,500.63168225,0.0,0,0.0,0.0,2,200.00000000000003,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
000811.SZ,冰轮环境,11.0,308874.07,339.761477,0.0,0,0.0,0.0,2,173.66673681982547,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
000860.SZ,顺鑫农业,15.82,135559.55,214.45520809999996,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
000999.SZ,华润三九,31.16,56920.96,177.36571136,0.0,0,0.0,0.0,2,130.14213857237348,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
001388.SZ,信通电子,46.96,76922.79,361.22942184,200.00000000000003,4,200.00000000000003,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False
001979.SZ,招商蛇口,9.25,1083640.09,1002.3670832500002,0.0,0,0.0,0.0,2,200.0,-111.1631171531362,3,-111.1631171531362,0.0,0,0.0,False,True,True,False,False,False
002129.SZ,TCL中环,8.4,1584708.29,1331.1549636000002,0.0,0,0.0,0.0,2,171.31453583654496,-0.04766092246026651,0,0.0,0.0,0,0.0,False,True,False,False,False,False
002271.SZ,东方雨虹,11.68,484325.89,565.6926395200001,0.0,0,0.0,0.0,2,200.0,-108.759001887983,2,-108.759001887983,0.0,0,0.0,False,True,False,False,False,False
002372.SZ,伟星新材,10.6,172316.32,182.6552992,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
002508.SZ,老板电器,19.06,73995.36,141.03515615999999,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
002896.SZ,中大力德,55.85,159352.28,889.9824838,0.0,4,135.83978770327607,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False
003005.SZ,竞业达,21.53,141388.06,304.40849318,0.0,0,0.0,0.0,2,194.7819631210392,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
300280.SZ,*ST紫天,5.17,669466.93,346.11440281,0.0,3,138.56474619457,200.0,4,200.0,0.0,0,0.0,0.0,0,0.0,True,True,False,False,True,False
300316.SZ,晶盛机电,28.23,153769.24,434.09056452,0.0,0,0.0,0.0,2,200.0,-77.7912561937747,0,0.0,0.0,0,0.0,False,True,False,False,False,False
300353.SZ,东土科技,20.06,266975.0,535.55185,135.32209327494235,3,135.32209327494235,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False
300413.SZ,芒果超媒,21.72,154611.22,335.81556983999997,0.0,0,0.0,0.0,2,137.8981279469393,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
300408.SZ,三环集团,31.69,157398.88,498.7970507200001,103.88203010093623,1,103.88203010093623,182.75413471651424,3,182.75413471651424,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
300529.SZ,健帆生物,22.55,66459.0,149.865045,0.0,0,0.0,0.0,2,191.80857502362053,0.0,2,-200.0,0.0,0,0.0,False,True,False,False,False,False
300540.SZ,蜀道装备,17.08,81527.51,139.24898707999998,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
300751.SZ,迈为股份,73.58,69410.35,510.7213553,0.0,0,0.0,0.0,2,122.97611882270238,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
