code,name,industry,area,source
000001.SZ,平安银行,银行,深圳,tushare
000002.SZ,万科A,全国地产,深圳,tushare
000004.SZ,*ST国华,软件服务,深圳,tushare
000006.SZ,深振业A,区域地产,深圳,tushare
000007.SZ,全新好,其他商业,深圳,tushare
000008.SZ,神州高铁,运输设备,北京,tushare
000009.SZ,中国宝安,电气设备,深圳,tushare
000010.SZ,美丽生态,建筑工程,深圳,tushare
000011.SZ,深物业A,房产服务,深圳,tushare
000012.SZ,南玻A,玻璃,深圳,tushare
000014.SZ,沙河股份,全国地产,深圳,tushare
000016.SZ,深康佳A,家用电器,深圳,tushare
000017.SZ,深中华A,服饰,深圳,tushare
000019.SZ,深粮控股,农业综合,深圳,tushare
000020.SZ,深华发A,元器件,深圳,tushare
000021.SZ,深科技,元器件,深圳,tushare
000025.SZ,特力A,综合类,深圳,tushare
000026.SZ,飞亚达,服饰,深圳,tushare
000027.SZ,深圳能源,火力发电,深圳,tushare
000028.SZ,国药一致,医药商业,深圳,tushare
000029.SZ,深深房A,区域地产,深圳,tushare
000030.SZ,富奥股份,汽车配件,吉林,tushare
000031.SZ,大悦城,全国地产,深圳,tushare
000032.SZ,深桑达A,建筑工程,深圳,tushare
000034.SZ,神州数码,软件服务,深圳,tushare
000035.SZ,中国天楹,环境保护,江苏,tushare
000036.SZ,华联控股,全国地产,深圳,tushare
000037.SZ,深南电A,火力发电,深圳,tushare
000039.SZ,中集集团,运输设备,深圳,tushare
000042.SZ,中洲控股,全国地产,深圳,tushare
000045.SZ,深纺织A,元器件,深圳,tushare
000048.SZ,京基智农,区域地产,深圳,tushare
000049.SZ,德赛电池,电气设备,深圳,tushare
000050.SZ,深天马A,元器件,深圳,tushare
000055.SZ,方大集团,其他建材,深圳,tushare
000056.SZ,皇庭国际,其他商业,深圳,tushare
000058.SZ,深赛格,商品城,深圳,tushare
000059.SZ,华锦股份,石油加工,辽宁,tushare
000060.SZ,中金岭南,铅锌,深圳,tushare
000061.SZ,农产品,农业综合,深圳,tushare
000062.SZ,深圳华强,元器件,深圳,tushare
000063.SZ,中兴通讯,通信设备,深圳,tushare
000065.SZ,北方国际,建筑工程,北京,tushare
000066.SZ,中国长城,IT设备,深圳,tushare
000068.SZ,华控赛格,环境保护,深圳,tushare
000069.SZ,华侨城A,全国地产,深圳,tushare
000070.SZ,特发信息,通信设备,深圳,tushare
000078.SZ,海王生物,医药商业,深圳,tushare
000088.SZ,盐田港,港口,深圳,tushare
000089.SZ,深圳机场,机场,深圳,tushare
000090.SZ,天健集团,建筑工程,深圳,tushare
000096.SZ,广聚能源,石油贸易,深圳,tushare
000099.SZ,中信海直,空运,深圳,tushare
000100.SZ,TCL科技,元器件,广东,tushare
000151.SZ,中成股份,商贸代理,北京,tushare
000153.SZ,丰原药业,化学制药,安徽,tushare
000155.SZ,川能动力,新型电力,四川,tushare
000156.SZ,华数传媒,影视音像,浙江,tushare
000157.SZ,中联重科,工程机械,湖南,tushare
000158.SZ,常山北明,软件服务,河北,tushare
000159.SZ,国际实业,石油贸易,新疆,tushare
000166.SZ,申万宏源,证券,新疆,tushare
000301.SZ,东方盛虹,化纤,江苏,tushare
000333.SZ,美的集团,家用电器,广东,tushare
000338.SZ,潍柴动力,汽车配件,山东,tushare
000400.SZ,许继电气,电气设备,河南,tushare
000401.SZ,冀东水泥,水泥,河北,tushare
000402.SZ,金融街,全国地产,北京,tushare
000403.SZ,派林生物,生物制药,山西,tushare
000404.SZ,长虹华意,家用电器,江西,tushare
000407.SZ,胜利股份,供气供热,山东,tushare
000408.SZ,藏格矿业,农药化肥,青海,tushare
000409.SZ,云鼎科技,软件服务,山东,tushare
000410.SZ,沈阳机床,机床制造,辽宁,tushare
000411.SZ,英特集团,医药商业,浙江,tushare
000415.SZ,渤海租赁,多元金融,新疆,tushare
000417.SZ,合百集团,百货,安徽,tushare
000419.SZ,通程控股,百货,湖南,tushare
000420.SZ,吉林化纤,化纤,吉林,tushare
000421.SZ,南京公用,供气供热,江苏,tushare
000422.SZ,湖北宜化,农药化肥,湖北,tushare
000423.SZ,东阿阿胶,中成药,山东,tushare
000425.SZ,徐工机械,工程机械,江苏,tushare
000426.SZ,兴业银锡,铅锌,内蒙,tushare
000428.SZ,华天酒店,酒店餐饮,湖南,tushare
000429.SZ,粤高速A,路桥,广东,tushare
000430.SZ,ST张家界,旅游景点,湖南,tushare
000488.SZ,ST晨鸣,造纸,山东,tushare
000498.SZ,山东路桥,建筑工程,山东,tushare
000501.SZ,武商集团,百货,湖北,tushare
000503.SZ,国新健康,软件服务,山东,tushare
000504.SZ,*ST生物,医疗保健,湖南,tushare
000505.SZ,京粮控股,食品,海南,tushare
000506.SZ,招金黄金,黄金,山东,tushare
000507.SZ,珠海港,新型电力,广东,tushare
000509.SZ,华塑控股,元器件,四川,tushare
000510.SZ,新金路,化工原料,四川,tushare
000513.SZ,丽珠集团,化学制药,广东,tushare
000514.SZ,渝开发,区域地产,重庆,tushare
000516.SZ,国际医学,医疗保健,陕西,tushare
000517.SZ,荣安地产,区域地产,浙江,tushare
000518.SZ,*ST四环,生物制药,江苏,tushare
000519.SZ,中兵红箭,专用机械,湖南,tushare
000520.SZ,凤凰航运,水运,湖北,tushare
000521.SZ,长虹美菱,家用电器,安徽,tushare
000523.SZ,红棉股份,食品,广东,tushare
000524.SZ,岭南控股,旅游服务,广东,tushare
