symbol,price,volume,turnover,BLUE信号_日线,BLUE信号_周线,笑脸信号_做多_日线,笑脸信号_做空_日线,笑脸信号_做多_周线,笑脸信号_做空_周线,成交量信号,黑马王子
AAA,25.075,43675.0,1095150.625,False,False,False,False,False,False,True,False
AACG,0.846,18083.0,15298.217999999999,False,False,False,False,False,False,True,False
AACT,10.98,12848.0,141071.04,False,False,False,False,False,False,True,False
AACT.U,11.09,201.0,2229.09,False,False,False,False,False,False,True,False
AACT.WS,0.15,8774.0,1316.1,False,False,False,False,False,False,True,False
AADR,69.0184,39382.0,2718082.6288,False,False,False,False,False,False,True,False
AAL,17.43,12686217.0,221120762.31,False,False,False,False,False,False,True,False
AAM,10.1,11543.0,116584.3,False,False,False,False,False,False,True,False
AAM.U,10.14,196.0,1987.44,False,False,False,False,False,False,True,False
AAM.WS,0.07,802.0,56.14000000000001,False,False,False,False,False,False,True,False
AAME,1.54,4642.0,7148.68,False,False,False,False,False,False,True,False
AAP,47.29,2575915.0,121815020.35,False,False,False,False,False,False,True,False
AAPB,33.77,55712.0,1881394.2400000002,False,False,False,False,False,True,False,False
AAPD,15.26,642435.0,9803558.1,True,True,False,False,False,False,True,False
AAPL,250.42,34284191.0,8585447110.219999,False,False,False,False,False,True,False,False
AAPR,26.36,1124.0,29628.64,False,False,False,False,False,False,True,False
AAT,26.26,167322.0,4393875.720000001,False,False,False,False,False,False,True,False
AAXJ,72.18,109515.0,7904792.700000001,False,False,False,False,False,False,True,False
AB,37.09,382122.0,14172904.98,False,False,False,False,False,False,True,False
ABEQ,31.4852,1021.0,32146.389199999998,False,False,False,False,False,False,True,False
ABEV,1.85,30982696.0,57317987.6,False,False,False,False,False,False,True,False
ABFL,66.4664,12039.0,800188.9896,True,False,False,False,False,False,True,False
ABHY,19.0501,791.0,15068.6291,False,False,False,False,False,False,True,False
ABL,7.83,160967.0,1260371.61,False,True,False,False,False,False,False,False
ABLD,28.0755,4880.0,137008.44,False,False,False,False,False,False,True,False
ABLG,28.6689,35475.0,1017029.2275,False,False,False,False,False,False,True,False
ABLLL,33.66,442545.0,14896064.7,False,False,False,False,False,False,True,False
ABLLW,1.05,35121.0,36877.05,False,False,False,False,False,False,True,False
ABLV,0.747979,3665.0,2741.343035,False,False,False,False,True,False,False,False
ABLVW,0.0189,777.0,14.6853,False,False,True,False,False,False,True,False
ABM,51.18,389877.0,19953904.86,False,False,False,False,False,False,True,False
ABNY,15.01,8316.0,124823.16,False,True,False,False,False,False,False,False
ABOS,1.72,269930.0,464279.6,False,True,False,False,False,False,True,False
ABOT,36.2002,767.0,27765.5534,False,False,False,False,False,False,True,False
ABP,1.79,440765.0,788969.35,False,False,False,False,False,False,True,False
ABPWW,0.0625,66606.0,4162.875,False,False,False,False,False,False,True,False
ABR,13.85,1837933.0,25455372.05,False,False,True,False,False,False,False,False
ABTS,0.6889,7024770.0,4839364.052999999,False,False,True,False,True,False,True,False
ABUS,3.27,723421.0,2365586.67,False,False,False,False,False,False,True,False
ABVC,0.59,168963.0,99688.17,False,False,False,False,False,False,True,False
ABVE,0.54,301870.0,163009.80000000002,False,False,False,False,False,False,True,False
ABVEW,0.027,95474.0,2577.798,False,False,False,False,True,False,True,False
ABVX,7.32,489585.0,3583762.2,False,True,True,False,False,False,True,False
ACAD,18.35,5783686.0,106130638.10000001,False,False,False,False,False,False,True,False
ACB,4.25,1176276.0,4999173.0,False,False,False,False,False,False,True,False
ACCD,3.42,652266.0,2230749.7199999997,False,False,False,False,False,False,True,False
ACCO,5.25,392208.0,2059092.0,True,False,False,False,False,False,True,False
ACDC,7.76,332913.0,2583404.88,False,False,False,False,False,False,True,False
ACES,26.04,58684.0,1528131.3599999999,False,False,False,False,False,False,True,False
ACGL,92.35,1052567.0,97204562.44999999,True,False,False,False,True,False,False,False
ACGLN,17.9,239485.0,4286781.5,False,True,False,False,False,False,True,False
ACGLO,21.21,177135.0,3757033.35,False,True,True,False,False,False,True,False
ACGR,57.7516,2314.0,133637.2024,False,False,False,False,False,False,True,False
ACHC,39.65,2143819.0,85002423.35,False,True,False,False,False,False,True,False
ACHL,1.14,85219.0,97149.65999999999,False,False,False,False,False,False,True,False
ACHR.WS,3.2201,73522.0,236748.1922,False,False,False,False,False,False,True,False
ACHV,3.52,270624.0,952596.48,False,False,False,False,False,False,True,False
ACI,19.64,3651318.0,71711885.52,False,False,False,False,False,False,True,False
ACIC,13.46,205239.0,2762516.94,False,False,False,False,False,False,True,False
ACIO,40.24,103259.0,4155142.16,False,False,False,False,False,False,True,False
ACIU,2.7,96921.0,261686.7,False,False,False,False,False,False,True,False
ACIW,51.91,673119.0,34941607.29,False,False,False,False,False,False,True,False
ACLC,70.5621,11105.0,783592.1205,True,False,False,False,False,False,True,False
ACLO,50.12,1.0,50.12,False,False,False,False,False,False,True,False
ACLS,69.87,393052.0,27462543.240000002,False,True,False,False,False,False,False,False
ACM,106.82,363142.0,38790828.44,False,False,False,False,False,False,True,False
ACMR,15.1,1106245.0,16704299.5,False,False,False,False,False,False,True,False
ACNB,39.83,22031.0,877494.73,False,False,True,False,False,False,False,False
ACOG,5.89,147074.0,866265.86,False,False,False,False,False,False,True,False
ACON,0.144,1565943.0,225495.792,False,False,False,False,False,False,True,False
