symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,latest_day_blue_value,blue_weekly,max_blue_weekly,blue_weeks,latest_week_blue_value,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,has_day_juedi,has_week_juedi,latest_cci_daily,latest_cci_weekly,company_name
TTD,35.855,5774993.0,20706.2374015,0.0,52.69235778782264,0,0.0,0.0,199.99999999999997,2,199.99999999999997,False,0,1,1,1,False,True,True,True,-153.77555385490834,-112.48757819987341,"The Trade Desk, Inc."
BLNK,0.8147,2785038.0,226.89704586,107.3509900839937,116.31201941086107,4,107.3509900839937,0.0,0.0,0,0.0,False,1,1,0,1,True,True,False,True,-105.0619789736259,-146.0581184128808,Blink Charging Co. Common Stock
BSII,9.99,202373.0,202.170627,0.0,200.0,3,200.0,114.56413807700564,114.56413807700564,0,0.0,False,0,0,1,1,False,False,True,True,-127.34281754900313,-287.0056998424701,Black Spade Acquisition II Co Class A Ordinary Share
MSTX,4.545,28897539.0,13133.9314755,0.0,0.0,0,0.0,0.0,200.0,2,200.0,False,1,0,1,1,True,False,True,True,-160.00611313381,-85.68670645024476,Tidal Trust II Defiance Daily Target 2x Long MSTR ETF
BTAL,14.69,116462.0,171.08267800000002,0.0,80.59930253593214,0,0.0,0.0,150.83850271086686,2,150.83850271086686,False,0,1,1,1,False,True,True,True,30.61174377367387,-85.55091033910112,AGF U.S. Market Neutral Anti-Beta Fund
TWM,31.44,340179.0,1069.522776,0.0,130.14424739738553,4,130.14424739738553,0.0,136.48739102406256,1,136.48739102406256,False,0,0,1,1,False,False,True,True,-3.6302188037175207,-105.77460807549292,ProShares UltraShort Russell2000
YYAI,0.9383,1324289.0,124.25803687,138.87945847241008,138.87945847241008,1,138.87945847241008,138.58819732369483,154.74446633891182,3,138.58819732369483,False,0,0,0,0,False,False,False,False,-104.96128427909696,-48.80522828102574,Connexa Sports Technologies Inc. Common Stock
RC,2.185,5814469.0,1270.4614765000001,74.5262867937246,74.5262867937246,0,0.0,181.77826378889065,181.77826378889065,2,181.77826378889065,False,0,0,1,0,False,False,True,False,-204.25361560616915,-106.54786255835381,Ready Capital Corporation
BUJA,3.66,343338.0,125.661708,139.52191597643343,139.52191597643343,1,139.52191597643343,200.0,200.0,3,200.0,False,0,0,1,1,False,False,True,True,-211.3480605724959,-186.24080199623583,Bukit Jalil Global Acquisition 1 Ltd. Ordinary Shares
CETX,2.2209,707947.0,157.22794922999998,49.164909340239376,49.164909340239376,0,0.0,143.59907512126915,143.9367380834892,4,143.59907512126915,False,0,0,0,1,False,False,False,True,-99.38163267886958,-134.32937002797556,CEMTREX INC.
VEEV,217.38,736322.0,16006.167635999998,0.0,140.16618031883598,4,140.16618031883598,0.0,96.75801752390682,0,0.0,False,1,0,1,1,True,False,True,True,-144.18119488947207,-136.08350998141677,Veeva Systems Inc.
CAPR,26.255,546798.0,1435.6181490000001,0.0,0.0,0,0.0,0.0,145.3375355928991,2,145.3375355928991,False,0,0,0,0,False,False,False,False,37.27562638430912,157.14436435551104,Capricor Therapeutics Inc
NXRT,28.26,102810.0,290.54106,159.83349884241628,159.83349884241628,2,159.83349884241628,200.0,200.0,3,200.0,False,1,0,1,1,True,False,True,True,-126.62208492931542,-208.41401680837458,NexPoint Residential Trust Inc
HIW,25.62,405208.0,1038.142896,0.0,55.376064814860975,0,0.0,0.0,163.67115767580313,2,163.67115767580313,False,0,0,1,1,False,False,True,True,-81.11948089455491,-122.40927941938817,Highwoods Properties Inc.
CLSD,0.41,2768773.0,113.51969299999999,0.09638119012369553,0.0964668032502584,0,0.0,166.89927160030967,166.89927160030967,2,166.89927160030967,False,1,0,1,1,True,False,True,True,-128.6459524443579,-276.26440948801064,"Clearside Biomedical, Inc. Common Stock"
RNP,19.68,184832.0,363.749376,0.0,26.61266426208429,0,0.0,0.0,158.45967699733689,2,158.45967699733689,False,0,1,1,1,False,True,True,True,-60.13553986097704,-118.21927414233605,"Cohen & Steers REIT and Preferred and Income Fund, Inc."
VIVK,0.0603,19051016.0,114.87762648,173.08765254829845,200.0,3,173.08765254829845,77.23753055044861,77.23753055044861,0,0.0,False,1,0,0,0,True,False,False,False,-112.44667962464962,-99.62760140865684,"Vivakor, Inc. Common Stock"
CAOS,89.92,13814.0,124.21548800000001,0.0,106.84996346250897,3,101.35020708270777,0.0,0.0,0,0.0,False,0,0,0,0,False,False,False,False,101.2709991158567,1.1359274473088887,Alpha Architect Tail Risk ETF
HIBS,5.05,1200729.0,606.368145,0.0,79.30454828347493,0,0.0,0.0,194.29918226477832,2,194.29918226477832,False,0,1,0,1,False,True,False,True,-36.22414632905128,-124.24851222990918,Direxion Daily S&P 500 High Beta Bear 3X Shares
EIC,11.021,125013.0,137.7768273,0.0,45.04394875972552,0,0.0,0.0,172.0778574249553,2,172.0778574249553,False,1,1,1,1,True,True,True,True,-89.64636411889572,-106.06560097598616,Eagle Point Income Company Inc.
NTNX,47.5101,1999168.0,9498.06715968,0.0,0.0,0,0.0,0.0,200.0,3,200.0,False,0,1,0,1,False,True,False,True,-32.23836124074478,-116.89504894551966,"Nutanix, Inc. Class A Common Stock"
SITC,6.375,900153.0,573.8475375,0.0,68.84940390207197,0,0.0,0.0,167.767714307753,2,139.24096645021578,False,0,1,1,1,False,True,True,True,-233.5781037386929,-118.58808195089875,SITE Centers Corp. Common Shares
SPGC,3.0,1611649.9333,483.49497999,0.0,22.758001895627398,0,0.0,200.0,200.0,2,200.0,False,0,0,0,1,False,False,False,True,-65.55974027727156,-113.52461300842793,"Sacks Parente Golf, Inc. Common Stock"
LEGN,21.645,1298321.0,2810.2158044999996,82.40275630215986,82.40275630215986,0,0.0,151.17002125044104,151.17002125044104,3,151.17002125044104,False,0,0,1,1,False,False,True,True,-113.77698635959582,-162.4472992502797,Legend Biotech Corporation American Depositary Shares
HIMU,48.874,165406.0,808.4052844,0.0,167.13862837103943,3,160.22210065839784,0.0,0.0,0,0.0,False,0,0,0,0,False,False,False,False,-47.278073247724784,-101.2742800997669,iShares High Yield Muni Active ETF
AVS,9.77,1886906.0,1843.507162,0.0,100.66124633413234,1,100.66124633413234,0.0,200.0,4,200.0,False,0,0,0,0,False,False,False,False,187.2028331203327,12.738998342391529,Direxion Daily AVGO Bear 1X Shares
UVXY,42.555,8885533.0,37812.385681499996,0.0,74.56105788430115,0,0.0,0.0,157.26695954292134,3,157.26695954292134,False,0,1,0,1,False,True,False,True,-103.30504439402846,-166.649851693632,ProShares Ultra VIX Short-Term Futures ETF
HAFN,5.55,833072.0,462.35495999999995,116.0255771884071,116.0255771884071,4,116.0255771884071,0.0,0.0,0,0.0,False,1,0,1,1,True,False,True,True,-117.9524673472519,-147.4367847220133,Hafnia Limited
AMC,1.948,16038174.0,3124.2362952,55.278760103172225,55.278760103172225,0,0.0,159.26244652028763,159.26244652028763,2,159.26244652028763,False,0,1,1,1,False,True,True,True,-194.51488551390975,-124.9885275491786,"AMC ENTERTAINMENT HOLDINGS, INC."
GWRE,192.27,892559.0,17161.231893,200.0,200.0,3,200.0,94.28294016233761,94.28294016233761,0,0.0,False,1,0,1,1,True,False,True,True,-141.69802259491877,-137.50114917754522,"GUIDEWIRE SOFTWARE, INC."
IFN,13.6169,183675.0,250.10841075,0.0,85.79889457189584,0,0.0,0.0,194.57168270395974,3,194.57168270395974,False,0,0,1,1,False,False,True,True,-109.0538848184899,-151.49596552473764,"The India Fund, Inc."
ARQ,3.275,530625.0,173.7796875,114.06812606886466,114.06812606886466,1,114.06812606886466,200.00000000000003,200.00000000000003,2,200.00000000000003,False,0,1,1,0,False,True,True,False,-177.91831011754203,-82.56263915576297,"Arq, Inc. Common Stock"
USOY,6.465,196188.0,126.83554199999999,144.70057312741852,144.70057312741852,3,144.70057312741852,187.81594397441245,196.32741097114516,3,187.81594397441245,True,0,0,1,1,False,False,True,True,-195.25304040800407,-138.14626432646375,Defiance Oil Enhanced Options Income ETF
CVI,29.545,573044.0,1693.058498,130.9328818064063,148.8588026760856,3,130.9328818064063,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-136.3631767858046,-191.5862808145767,"CVR ENERGY, INC."
HLXB,9.9,129296.0,128.00304000000003,0.0,178.03454523522666,2,178.03454523522666,200.0,200.0,2,200.0,False,0,0,1,1,False,False,True,True,-52.942467062143216,-244.03294821849798,Helix Acquisition Corp. II Class A Ordinary Shares
NEP,10.54,4909302.0,5174.404308,0.0,97.18803047483216,0,0.0,200.0,200.0,2,200.0,False,1,0,1,1,True,False,True,True,-126.36524061620632,-319.5347347829463,"NextEra Energy Partners, LP"
FE,43.975,1786333.0,7855.3993675,120.43139992283376,133.64337077818675,3,120.43139992283376,0.0,0.0,0,0.0,False,0,0,0,1,False,False,False,True,-85.6535520814321,-110.27774328407604,FirstEnergy Corp.
TPL,813.3,96629.0,7858.83657,135.29485512876795,135.29485512876795,3,135.29485512876795,143.0278935756398,143.0278935756398,2,143.0278935756398,True,0,0,1,1,False,False,True,True,-158.72764896287322,-175.0383899150956,Texas Pacific Land Corporation
CPRT,38.985,4001529.0,15599.9608065,0.0,0.0,0,0.0,0.0,144.33214692195088,3,144.33214692195088,False,0,1,0,1,False,True,False,True,32.92219020172957,-88.87331788210354,Yahoo Finance
APTO,1.71,670384.0,114.63566399999999,68.14401197233096,68.14401197233096,0,0.0,170.42442233134847,170.42442233134847,2,170.42442233134847,False,0,1,1,1,False,True,True,True,-375.559880727797,-143.91043837141564,"Aptose Biosciences, Inc."
LABD,21.785,1751587.0,3815.8322795000004,0.0,0.0,0,0.0,0.0,166.3840596263836,3,166.3840596263836,False,0,0,0,0,False,False,False,False,16.46216901050801,-91.92411894612876,Direxion Daily S&P Biotech Bear 3X Shares
VICI,28.4,5523463.0,15686.634919999999,0.0,73.65303769152275,0,0.0,0.0,160.10916351222292,3,160.10916351222292,False,0,1,1,1,False,True,True,True,39.97508046931743,-93.01154101054013,VICI Properties Inc.
SKGR,12.02,196254.0,235.897308,0.0,88.26304175387828,0,0.0,172.14711647576232,172.14711647576232,2,172.14711647576232,False,1,0,1,0,True,False,True,False,14.155507842221173,-67.23342905143704,SK Growth Opportunities Corporation Class A Common Stock
AISP,3.06,428416.0,131.095296,54.00131479081276,54.00131479081276,0,0.0,198.03340883691715,198.03340883691715,2,198.03340883691715,False,1,1,2,0,True,True,True,False,-147.60347388368206,-94.39574029001942,"Airship AI Holdings, Inc. Class A Common Stock"
LX,3.13,817077.0,255.74510099999998,0.0,67.26938304768935,0,0.0,0.0,146.71207544131474,3,146.71207544131474,False,0,1,1,1,False,True,True,True,-199.42166140904436,-103.2236187288542,LexinFintech Holdings Ltd. American Depositary Shares
ATUS,1.79,3837978.0,686.998062,0.0,87.75903748611084,0,0.0,0.0,200.00000000000003,2,200.00000000000003,False,0,1,1,1,False,True,True,True,-102.7204399395603,-158.78080631462106,"Altice USA, Inc. Class A Common Stock"
CNS,63.065,78856.0,497.30536399999994,0.0,82.53450972319963,0,0.0,0.0,173.97039992905886,2,147.78030266971996,False,0,1,0,0,False,True,False,False,71.96637392861841,-54.57593541337724,Cohen & Steers Inc.
