symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
YMAB,3.85,266541.0,102.618285,104.27574879287378,104.27574879287378,0,154.6053481471452,160.05026183694295,2,0.0,0,0.0,0,"Y-mAbs Therapeutics, Inc. Common Stock"
VLRS,4.555,292048.0,133.027864,0.0,0.05434211030914898,0,0.0,225.94097415591483,3,0.0,0,0.0,0,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V."
SOXS,26.3901,19574385.0,51656.997758850004,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,Direxion Daily Semiconductor Bear 3X Shares
AMRC,9.51,258719.0,246.041769,0.0,288.62474834146616,1,0.0,249.67501831992482,2,0.0,0,0.0,0,"Ameresco, Inc."
SCMB,24.815,48727585.0,120917.5021775,0.0,0.0,0,0.0,250.6623455541039,3,0.0,0,0.0,0,Schwab Municipal Bond ETF
BOOT,90.96,194905.0,1772.8558799999996,0.0,122.75014271935964,0,0.0,293.985661954832,3,0.0,0,0.0,0,"Boot Barn Holdings, Inc."
GBX,42.49,183865.0,781.242385,0.0,0.0,0,0.0,178.385233147879,2,0.0,0,0.0,0,"The Greenbrier Companies, Inc."
EETH,31.8,35955.0,114.3369,0.0,0.0,0,0.0,325.87907007744593,3,0.0,0,0.0,0,ProShares Ether ETF
AEIS,87.61,35088.0,307.40596800000003,0.0,0.0,0,0.0,236.74411880902733,2,0.0,0,0.0,0,Advanced Energy Industries Inc
SQY,10.49,125860.0,132.02714,234.69763187471995,234.69763187471995,2,261.9943442434276,261.9943442434276,4,0.0,0,0.0,0,YieldMax SQ Option Income Strategy ETF
RRX,99.085,82336.0,815.826256,0.0,0.0,0,0.0,212.09128334906396,2,0.0,0,0.0,0,Regal Rexnord Corporation
GLPI,49.4804,269767.0,1334.81790668,0.0,0.0,0,0.0,268.8975624239448,2,0.0,0,0.0,0,"Gaming and Leisure Properties, Inc."
TTD,48.255,2027529.0,9783.8411895,0.0,0.0,0,0.0,339.71340476936115,2,0.0,0,0.0,0,"The Trade Desk, Inc."
HPP,2.225,1008551.0,224.4025975,0.0,0.0,0,0.0,243.8775226980586,2,0.0,0,0.0,0,"Hudson Pacific Properties, Inc."
RSLS,0.40399,6976584.0,281.847017016,0.0,0.0,0,0.0,332.94984574186884,2,0.0,0,0.0,0,"ReShape Lifesciences, Inc. Common Stock"
BSVO,17.76,81917.0,145.48459200000002,0.0,0.0,0,0.0,317.69151270105624,2,0.0,0,0.0,0,EA Bridgeway Omni Small-Cap Value ETF
SKE,12.11,127297.0,154.156667,0.0,0.0,0,0.0,0.0,0,0.0,4,0.0,2,Skeena Resources Limited
HQL,11.92,126850.0,151.2052,0.0,0.0,0,0.0,207.82723089888708,3,0.0,0,0.0,0,abrdn Life Sciences Investors
VTOL,28.6,48100.0,137.566,0.0,0.0,0,0.0,235.97308227419853,2,0.0,0,0.0,0,Bristow Group Inc.
CMRX,8.54,755560.0,645.2482399999999,0.0,0.0,0,0.0,0.0,0,-240.35283459209788,4,-350.0,5,"Chimerix, Inc."
