symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
VLRS,4.69,2336851.0,1095.9831190000002,0.0,0.05434211030914898,0,0.0,225.94097415591483,3,0.0,0,0.0,0,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V."
AMRC,10.06,542732.0,545.988392,0.0,288.62474834146616,1,0.0,249.67501831992482,2,0.0,0,0.0,0,"Ameresco, Inc."
SOXS,19.08,108482083.0,206983.814364,148.3741296694728,148.3741296694728,0,0.0,0.0,0,0.0,0,0.0,2,Direxion Daily Semiconductor Bear 3X Shares
SCMB,25.1,326639.0,819.8638900000001,0.0,0.0,0,0.0,250.6623455541039,3,0.0,0,0.0,0,Schwab Municipal Bond ETF
EETH,32.9,47381.0,155.88349,0.0,0.0,0,0.0,325.87907007744593,3,0.0,0,0.0,0,ProShares Ether ETF
BOOT,102.18,1088196.0,11119.186728,0.0,122.75014271935964,0,0.0,293.985661954832,3,0.0,0,0.0,0,"Boot Barn Holdings, Inc."
SENEA,89.12,21095.0,187.99864000000002,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,Seneca Foods Corp
AEIS,96.92,229580.0,2225.08936,0.0,0.0,0,0.0,236.74411880902733,2,0.0,0,0.0,0,Advanced Energy Industries Inc
ROSC,38.9642,29280.0,114.08717759999999,0.0,0.0,0,0.0,175.59217427433987,2,0.0,0,0.0,0,Hartford Multifactor Small Cap ETF
GBX,42.86,400861.0,1718.090246,0.0,0.0,0,0.0,178.385233147879,2,0.0,0,0.0,0,"The Greenbrier Companies, Inc."
RRX,106.34,603683.0,6419.565022,0.0,0.0,0,0.0,212.09128334906396,2,0.0,0,0.0,0,Regal Rexnord Corporation
SQY,10.49,125860.0,132.02714,234.69763187471995,234.69763187471995,2,261.9943442434276,261.9943442434276,4,0.0,0,0.0,0,YieldMax SQ Option Income Strategy ETF
GLPI,49.03,1289836.0,6324.065908,0.0,0.0,0,0.0,268.8975624264457,2,0.0,0,0.0,0,"Gaming and Leisure Properties, Inc."
CECO,19.4,209151.0,405.75293999999997,0.0,178.0751538147469,1,0.0,350.0,2,0.0,0,0.0,0,Ceco Environmental Corp
TTD,53.27,6880383.0,36651.800241000004,0.0,0.0,0,0.0,339.7134047607068,2,0.0,0,0.0,0,"The Trade Desk, Inc."
DUO,0.265,13782393.0,365.2334145,0.0,0.0,0,0.0,269.53732312996436,3,0.0,0,0.0,0,Fangdd Network Group Ltd. Class A Ordinary Shares
HPP,2.24,2147720.0,481.0892800000001,0.0,0.0,0,0.0,243.87752270408436,2,0.0,0,0.0,0,"Hudson Pacific Properties, Inc."
BSVO,18.4,215257.0,396.07288,0.0,0.0,0,0.0,317.69151270105624,2,0.0,0,0.0,0,EA Bridgeway Omni Small-Cap Value ETF
SKE,12.45,355570.0,442.68465,0.0,0.0,0,0.0,0.0,0,0.0,2,0.0,2,Skeena Resources Limited
MLTX,39.45,366723.0,1446.7222350000002,0.0,0.0,0,0.0,162.61109785938356,2,0.0,0,0.0,0,MoonLake Immunotherapeutics Class A Ordinary Shares
CMRX,8.54,755560.0,645.2482399999999,0.0,0.0,0,0.0,0.0,0,-240.35283459209788,4,-350.0,5,"Chimerix, Inc."
VTOL,29.3,142831.0,418.49483000000004,0.0,0.0,0,0.0,235.97308227419853,2,0.0,0,0.0,0,Bristow Group Inc.
BLNK,0.7699,2070274.0,159.39039526,0.0,0.0,0,0.0,344.88943141728964,3,0.0,0,0.0,0,Blink Charging Co. Common Stock
XSD,192.28,57259.0,1100.976052,0.0,0.0,0,0.0,350.0,3,0.0,0,0.0,0,SPDR S&P Semiconductor ETF
QQQY,23.78,153611.0,365.286958,0.0,0.0,0,0.0,350.0,3,0.0,0,0.0,0,Tidal Trust II Defiance Nasdaq 100 Enhanced Options & 0DTE Income ETF
