symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,latest_day_blue_value,blue_weekly,max_blue_weekly,blue_weeks,latest_week_blue_value,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,has_day_juedi,has_week_juedi,latest_cci_daily,latest_cci_weekly,company_name
TTD,37.28,4965421.0,18511.089487999998,0.0,52.69235778782264,0,0,0.0,199.99999999999997,2,199.99999999999997,False,1,1,1,1,True,True,True,True,-57.38394272691224,-102.60783318800661,"The Trade Desk, Inc."
MSTX,4.4414,24909990.0,11063.522958599999,0.0,0.0,0,0,0.0,200.0,2,200.0,False,1,0,1,1,True,False,True,True,-111.86485296645274,-86.3745994853098,Tidal Trust II Defiance Daily Target 2x Long MSTR ETF
BTAL,14.77,386007.0,570.132339,0.0,80.59930253593214,0,0,0.0,150.8385028500129,2,150.8385028500129,False,0,1,1,1,False,True,True,True,77.05810737995667,-71.92742512265174,AGF U.S. Market Neutral Anti-Beta Fund
MUD,6.53,12759321.0,8331.836613000001,73.14820195627077,73.14820195627077,0,0,160.75557885776303,160.75557885776303,2,160.75557885776303,False,1,0,1,0,True,False,True,False,-126.44816515506723,-84.50971333537598,Direxion Daily MU Bear 1X Shares
RC,2.215,5005480.0,1108.71382,72.29277542375847,74.5262867937246,0,0,181.89917179982248,181.89917179982248,2,181.89917179982248,False,1,0,1,0,True,False,True,False,-132.4064444411889,-106.89357621836376,Ready Capital Corporation
BUJA,3.66,343338.0,125.661708,139.52191597643343,139.52191597643343,0,0,200.0,200.0,3,200.0,False,0,0,1,1,False,False,True,True,-211.3480605724959,-186.24080199623583,Bukit Jalil Global Acquisition 1 Ltd. Ordinary Shares
RLTY,14.4113,70149.0,101.09382837,15.033660437470122,15.033660437470122,0,0,199.99999999999997,199.99999999999997,2,199.99999999999997,False,0,0,0,1,False,False,False,True,-108.0714695190848,-172.57016706843254,Cohen & Steers Real Estate Opportunities and Income Fund
CETX,2.26,674657.0,152.47248199999999,0.0,49.164909340239376,0,0,143.59907410683826,143.93673706667298,4,143.59907410683826,False,0,0,0,1,False,False,False,True,-80.3227678516305,-129.72040200530188,CEMTREX INC.
CAPR,26.62,425911.0,1133.775082,0.0,0.0,0,0,0.0,145.3375355927882,2,145.3375355927882,False,0,0,0,0,False,False,False,False,28.39124295303606,157.74102262742906,Capricor Therapeutics Inc
NXRT,28.6,83566.0,238.99876,0.0,159.83349884241628,0,0,200.0,200.0,3,200.0,False,0,0,1,1,False,False,True,True,-91.60371503362201,-202.75797577416947,NexPoint Residential Trust Inc
HIW,25.49,383717.0,978.094633,0.0,0.0,0,0,0.0,163.67116005311902,2,163.67116005311902,False,0,0,0,1,False,False,False,True,-80.05780160139305,-120.79965723411287,Highwoods Properties Inc.
CLSD,0.41,2768773.0,113.51969299999999,0.09638119012369553,0.0964668032502584,0,0,166.89927160030967,166.89927160030967,2,166.89927160030967,False,1,0,1,1,True,False,True,True,-128.6459524443579,-276.26440948801064,"Clearside Biomedical, Inc. Common Stock"
RNP,19.66,85170.0,167.44422,0.0,26.61266426208429,0,0,0.0,158.45967699733689,2,158.45967699733689,False,0,1,1,1,False,True,True,True,-36.54850955163477,-117.99395287740091,"Cohen & Steers REIT and Preferred and Income Fund, Inc."
TSLZ,10.1601,8082945.0,8212.35294945,0.0,79.3797443949159,0,0,200.0,200.0,2,200.0,False,1,0,1,1,True,False,True,True,-138.82535884427872,-187.19458455223668,T-Rex 2X Inverse Tesla Daily Target ETF
HIBS,5.02,587348.0,294.848696,0.0,79.30454828347366,0,0,0.0,191.88126041144895,2,191.88126041144895,False,0,1,0,1,False,True,False,True,-21.658640847798896,-117.96039291218032,Direxion Daily S&P 500 High Beta Bear 3X Shares
