symbol,signals,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
AAPD,", , 日BLUE>150(3天), 周PINK上穿10, , 周BLUE>150(5周), , ",-0.14540824909447458,-0.33953513162719307,0.38825376506543696,0.2621875182095655,0.15302487804878048,-0.0018514102934358845,-0.0035358659002333107,0.0001852901167477169
AGGS,", , 日BLUE>150(4天), 周PINK上穿10, , , 黄金柱(1次), 倍量柱(3次)",-0.3085673176443109,-0.2675569082458993,-0.08202081879682321,-0.15235039106450415,0.394779512195122,-0.004610130891042785,-0.0049016010852607865,3.206172136398014e-05
AGIH,", , , 周PINK上穿10, , , , 倍量柱(1次)",-0.14405460006079096,-0.13220908796167802,-0.023691024198225885,-0.05294948479441118,0.23629268292682926,-0.0021398963097376267,-0.002266061237158146,1.3878142016257146e-05
AMX,"日PINK上穿10, , , , , 周BLUE>150(5周), , 倍量柱(1次)",-0.2749105120812789,-0.3147375834060904,0.079654142649623,0.02460102743294733,0.1402439024390244,-0.0043589108301143875,-0.004901708013497494,5.970769017214174e-05
APRD,"日PINK上穿10, , , , 周PINK下穿94, , , 倍量柱(1次)",-0.10132065627608355,-0.007981667392619698,-0.1866779777669277,-0.14059753180009676,0.24126756097560972,-0.0018480650968025758,-0.0010460349653098793,-8.822331446419661e-05
AREA,", , 日BLUE>150(4天), , , 周BLUE>150(4周), , 倍量柱(1次)",-0.582364090279281,-0.524813608031636,-0.11510096449529006,-0.2294954725650057,0.1781990243902439,-0.0086150382009689,-0.009006834559053229,4.309759938927623e-05
BBEU,", , 日BLUE>150(3天), 周PINK上穿10, , , , ",-0.7237333552778509,-0.7534922644379779,0.059517818320254046,-0.26928563622982005,0.5510146341463414,-0.010345061893766938,-0.013166568164774725,0.0003103656898108566
BBLB,", , , , , 周BLUE>150(3周), , 倍量柱(1次)",-1.620971260332169,-1.3121797782475366,-0.617582964169265,-0.7955829788700262,0.8031951219512196,-0.025225082140638788,-0.024779309722761156,-4.903496596653956e-05
BC,"日PINK上穿10, , , 周PINK上穿10, , , , ",-4.187797711743244,-4.437894850328398,0.5001942771703085,-0.6430834732247447,0.645550243902439,-0.06040056138432415,-0.06928802379763338,0.0009776208654640156
BF.A,"日PINK上穿10, , , , , 周BLUE>150(2周), , ",-2.2292670551195215,-1.463088818723483,-1.532356472792077,-1.631282120673689,0.35345121951219516,-0.035126344391001985,-0.03243994233932675,-0.00029550422568427615
BHM,"日PINK上穿10, , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.35559451891306715,-0.33237834502312935,-0.046432347779875593,-0.12851418695058223,0.13046341463414635,-0.005430457657811555,-0.005954591610541527,5.765473480029689e-05
BILD,", , 日BLUE>150(4天), , , 周BLUE>150(2周), , ",-0.651994649963342,-0.602027350780476,-0.09993459836573204,-0.2235058782708474,0.23407024390243902,-0.009833258070418488,-0.010371778225234428,5.9237217029753424e-05
BIPJ,", , 日BLUE>150(5天), , , 周BLUE>150(3周), , 倍量柱(2次)",-0.3738247138668207,-0.4025759155967574,0.05750240345987345,-0.06889196066229705,0.23756097560975611,-0.005333734968514664,-0.006263896585190626,0.00010231777783435578
BKDT,", , , , , 周BLUE>150(4周), , 倍量柱(2次)",-8.34712926495277,-6.874959859284884,-2.944338811335772,-3.67316198072744,0.6782439024390243,-0.128029580935907,-0.12418670703958501,-0.0004227161285954184
BKN,", , 日BLUE>150(3天), 周PINK上穿10, , 周BLUE>150(2周), , ",-0.2713059763004235,-0.3020726277520607,0.0615333029032743,-0.0291170081472436,0.11013829268292682,-0.003923562213330498,-0.004640346187699324,7.88462371805709e-05
BNDD,", , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.2550656519011394,-0.18280117171135302,-0.14452896037957275,-0.1470643108294702,0.12956097560975607,-0.003988669880825801,-0.003587865666293109,-4.4088463598596146e-05
BRHY,", , , 周PINK上穿10, , , , 倍量柱(1次)",-0.17647602558087527,-0.2349088052411299,0.11686555932050924,-0.01594259531783565,0.4978780487804878,-0.0020459942048567936,-0.0032728562975146785,0.00013495483019236733
BTU,", , 日BLUE>150(4天), , , 周BLUE>150(2周), , ",-1.403410386080047,-1.4204964796202129,0.03417218708033154,0.08826410692743444,0.18760975609756098,-0.021584535378246922,-0.020883230529938752,-7.71435333138987e-05
BLLD,", , , 周PINK上穿10, , , , 倍量柱(2次)",-1.4400197233479304,-1.3818018797752807,-0.1164356871452994,-0.4180898485779604,0.4558048780487805,-0.021521371805499234,-0.023268276017300867,0.00019215946329817957
BWET,", , , , , 周BLUE>150(5周), , 倍量柱(2次)",-0.6757576931130167,-0.6821148078131959,0.012714229400358379,0.1168001707548066,0.08951219512195122,-0.011710060834013783,-0.010970770259037716,-8.132196324736736e-05
CCIRW,", 日PINK下穿94, , , 周PINK下穿94, , , 倍量柱(1次)",0.04107420314932925,0.04142073059705379,-0.0006930548954490884,0.025635170182198526,0.0031219512195121953,0.0005959130139229661,0.0008244330071861929,-2.513719925895495e-05
CCIXU,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",0.15158423022765,0.10133730642631919,0.10049384760266161,0.10583397607154604,0.10390243902439025,0.0024504046113353883,0.002316042012977187,1.4779885819402151e-05
CEW,"日PINK上穿10, , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.39061356866165653,-0.2856026209711946,-0.21002189538092386,-0.28276219728150775,0.16702365853658538,-0.005934260871665764,-0.006068273440858577,1.4741382611209415e-05
CHEB.WS,", , 日BLUE>150(5天), , , 周BLUE>150(2周), , 倍量柱(1次)",-0.014090854026276238,-0.00995070947771916,-0.008280289097114157,-0.00804066672595792,0.0003434146341463415,-0.00023448065178291227,-0.0002157638074259714,-2.058852879263495e-06
CMCI,", , , 周PINK上穿10, , , , 倍量柱(3次)",-0.26169001708490924,-0.21458022139941013,-0.09421959137099822,-0.21252248078213354,0.23990243902439023,-0.0036423423124936627,-0.004281352056775836,7.029107187103909e-05
CMC,"日PINK上穿10, , , 周PINK上穿10, , , , ",-3.201374685138809,-2.899577197707518,-0.603594974862582,-1.4566638230393898,0.4833170731707317,-0.04392246600781957,-0.04767107782929846,0.000412347300362678
CMSA,", , 日BLUE>150(6天), 周PINK上穿10, , , , 倍量柱(1次)",-0.5242696969702507,-0.5781849893267469,0.10783058471299234,-0.06180128729419622,0.2222439024390244,-0.007491710643144828,-0.008857026374776557,0.00015018473047949028
COOLW,", , , , 周PINK下穿94, , , 倍量柱(2次)",0.008270303835325538,0.010803672874438801,-0.005066738078226527,0.002410385187890987,0.002024390243902439,0.00010240226077769211,0.00017342986405806938,-7.8130363608415e-06
COPA,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.8042027928887521,-0.83249260417958,0.05657962258165594,-0.12795286503349118,0.22511536585365852,-0.01194004998718981,-0.013466780237808656,0.000167940327568073
CORO,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",-0.3721842732889442,-0.29486075442718046,-0.1546470377235275,-0.21667704413548133,0.23446243902439023,-0.005591782852192556,-0.005679899857895703,9.692870627346136e-06
COTY,"日PINK上穿10, , , , , 周BLUE>150(5周), , ",-0.20799434972630237,-0.19115313405575868,-0.03368243134108739,-0.07958943059351722,0.0684390243902439,-0.003230122394064991,-0.0035518330212671017,3.538816899223219e-05
CMSD,", , 日BLUE>150(3天), , , 周BLUE>150(2周), , 倍量柱(1次)",-0.2664173737428115,-0.3197178805694451,0.10660101365326724,-0.0011574236363641119,0.23039512195121953,-0.0037286467051768357,-0.004743393134628258,0.0001116221072396564
CZR,"日PINK上穿10, , , 周PINK上穿10, , , , ",-1.6609919336130758,-1.803664368600454,0.2853448699747565,-0.08293341634459962,0.32309756097560977,-0.025290244480432433,-0.028164373481851798,0.00031615419015613
DNL,", , 日BLUE>150(3天), 周PINK上穿10, , , , 倍量柱(1次)",-0.34760410515750806,-0.3478091440013158,0.00041007768761547325,-0.20700892266836873,0.3590531707317073,-0.004604027757218798,-0.006336309715257326,0.00019055101538423803
DOW,"日PINK上穿10, , , , , 周BLUE>150(3周), , ",-1.3750917857511524,-1.7294547793337376,0.7087259871651703,0.5915518094080225,0.3877482926829268,-0.022534374413158087,-0.024943685980151255,0.0002650242723692485
DTAN,", , , 周PINK上穿10, , 周BLUE>150(2周), , 倍量柱(3次)",-0.14139942892946777,-0.11777332482996646,-0.04725220819900264,-0.10604063290821922,0.24286585365853655,-0.0020180579561100975,-0.0024463081756249646,4.710752414663537e-05
DTSQ,", , , , 周PINK下穿94, , , 倍量柱(2次)",0.019146594653738802,0.02036914940668489,-0.0024451095058921762,0.0004452722683403801,0.09842682926829269,0.0002905993743458901,0.000318392636536612,-3.057258840979409e-06
DWCR,"日PINK上穿10, , 日BLUE>150(4天), , , 周BLUE>150(3周), , 倍量柱(3次)",-0.37003344006535954,-0.35533394149624986,-0.029398997138219363,-0.13816890853993297,0.27498048780487805,-0.005559488327252837,-0.006404911084407884,9.29965032870551e-05
EDOG,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(2次)",-0.3430628957914017,-0.31419992251918977,-0.05772594654442387,-0.1554464345059315,0.20310682926829268,-0.004914691428475948,-0.005454389222338074,5.936675732483383e-05
EELV,"日PINK上穿10, , 日BLUE>150(3天), 周PINK上穿10, , , , 倍量柱(1次)",-0.3906585018090212,-0.37163494020343735,-0.038047123211167655,-0.1302703251156991,0.23002439024390245,-0.00572246792424197,-0.006338690054482462,6.778443432645417e-05
EMCGR,", , 日BLUE>150(3天), , , 周BLUE>150(3周), , 倍量柱(1次)",-0.018293020060908313,-0.011262850086466486,-0.014060339948883654,-0.010669079026923548,0.0007343902439024391,-0.00031284456481137644,-0.00024953394696569534,-6.964167963024921e-06
EMEQ,"日PINK上穿10, , 日BLUE>150(3天), , , 周BLUE>150(2周), , 倍量柱(3次)",-0.2563188122463984,-0.31809217789748523,0.12354673130217364,-0.03003614422398719,0.24673243902439027,-0.0033433488227321007,-0.005079272333697554,0.00019095158620619987
ESQ,", , , , 周PINK下穿94, , , 倍量柱(2次)",1.246516531633361,1.6223750503754437,-0.7517170374841653,-0.8657068576363346,0.7787804878048781,0.02203230462698791,0.02354145933461651,-0.000166007017839146
EUAD,", , , 周PINK上穿10, , 周BLUE>150(4周), , 倍量柱(3次)",-0.18425218307652003,-0.188028675157991,0.0075529841629419225,-0.07267010360884918,0.2404751219512195,-0.0026422038337495235,-0.0033019206913448727,7.256885433548841e-05
EUDV,"日PINK上穿10, , , , , 周BLUE>150(3周), , 倍量柱(3次)",-0.670706266107679,-0.6522220992955181,-0.036968333624321836,-0.1756093055398094,0.45714146341463413,-0.010328264014172917,-0.01130007588217828,0.00010689930548058996
EVHY,", , , , , 周BLUE>150(2周), , 倍量柱(3次)",-0.330363545685465,-0.31265519653571877,-0.035416698299492455,-0.14322308104489972,0.5117346341463415,-0.004612060998288037,-0.005242333179839085,6.932993997061527e-05
EWO,", , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.12990783997289412,-0.14375591543109853,0.027696150916408813,-0.02568108220852901,0.204809756097561,-0.0018943757791959615,-0.0024083738530716334,5.6539788126323916e-05
FDIV,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(2次)",-0.4834067430772997,-0.44371401295393187,-0.07938546024673565,-0.18036492863055475,0.26482926829268294,-0.0069831083461947,-0.007493692299075496,5.616423481688758e-05
FFDI,"日PINK上穿10, , , 周PINK上穿10, , , , ",-0.24352194327265053,-0.2130777691661344,-0.06088834821303224,-0.21088867922534407,0.24273170731707316,-0.0037865330923282092,-0.004846840166786489,0.00011663377819041077
FIRI,", , 日BLUE>150(4天), 周PINK上穿10, , , , 倍量柱(1次)",-0.20079654685877202,-0.1340220574339271,-0.13354897884968986,-0.16595253103275343,0.19229268292682927,-0.0030828557857840444,-0.0030271349040610946,-6.1292969895244835e-06
FLCE,", , 日BLUE>150(3天), 周PINK上穿10, , , , 倍量柱(1次)",0.0005284881011746734,0.014080490712053076,-0.027104005221756804,-0.03174451332977007,0.24702439024390244,-0.00014813105717298436,-0.0002571324946098752,1.1990158118057996e-05
FLLA,"日PINK上穿10, , , , , 周BLUE>150(4周), , 倍量柱(1次)",-0.603935013110771,-0.6345154831445333,0.061160940067524594,-0.13035983750834448,0.1701219512195122,-0.00887699211608911,-0.010444538052231144,0.0001724300529756237
FLMX,", , 日BLUE>150(4天), , , 周BLUE>150(3周), , ",-0.5803847831309028,-0.5428518205228785,-0.0750659252160486,-0.2698171352014497,0.23219512195121952,-0.008683731297735253,-0.009953775564341202,0.00013970486932665438
FTAG,", , , 周PINK上穿10, , , , 倍量柱(1次)",-0.40293845389855676,-0.42798666100569566,0.050096414214277796,-0.10492458699919463,0.22846341463414632,-0.005512444900348856,-0.006724506177512069,0.00013332674048795342
FUL,"日PINK上穿10, , , , , 周BLUE>150(3周), , 倍量柱(1次)",-3.9404872615509987,-3.0316885155247624,-1.8175974920524727,-1.9834062695617203,0.6215731707317074,-0.06261793569706742,-0.05892104657411873,-0.00040665780352435566
FVNNU,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(2次)",0.1302885620819918,0.10772825139364678,0.04512062137669004,0.07497327908810904,0.10154878048780488,0.0017000360139652754,0.001964681685598459,-2.9111023879650186e-05
FVR,", , 日BLUE>150(4天), , , 周BLUE>150(5周), , 倍量柱(1次)",-0.5617497680604977,-0.2906387516142982,-0.542222032892399,-0.4048658184865607,0.16607317073170733,-0.008601159875622516,-0.006387983266827651,-0.00024344942696743514
FXC,", , 日BLUE>150(3天), , , 周BLUE>150(7周), 黄金柱(1次), 倍量柱(2次)",-0.4562421633790308,-0.573362752861322,0.2342411789645824,0.10930808994901137,0.6652843902439024,-0.007013589111097951,-0.008467825722979452,0.00015996602730696517
FXZ,"日PINK上穿10, , , 周PINK上穿10, , , , ",-2.094883845812639,-2.3691919276548328,0.5486161636843878,-0.11594025534068969,0.5624878048780488,-0.030078419756301544,-0.03564761023717028,0.0006126109528955609
GCMG,", 日PINK下穿94, , , 周PINK下穿94, , , 倍量柱(1次)",0.15048963191712694,0.09784312362231677,0.10529301658962034,0.074045917301711,0.12195121951219513,0.0028329523700302423,0.0023860761047480774,4.915638918103813e-05
GDOC,", , , , , 周BLUE>150(4周), , 倍量柱(3次)",-0.4176164664696884,-0.4568530164807144,0.07847310002205199,-0.054051296948014325,0.319390243902439,-0.006244756718895017,-0.0075882594880737324,0.0001477853046096587
GMUB,", , , , , 周BLUE>150(2周), , 倍量柱(2次)",-0.1536444730147224,-0.1404315545284576,-0.026425836972529593,-0.0883071472630512,0.4879146341463415,-0.0020592901746994685,-0.002406146953015837,3.815424561480052e-05
GOAU,", , 日BLUE>150(4天), 周PINK上穿10, , , , 倍量柱(1次)",-0.5435137540132722,-0.6035725141178288,0.12011752020911315,-0.08409594522909823,0.19153658536585366,-0.007436067429511445,-0.009253897244491448,0.0001999612796478004
GPAT,", 日PINK下穿94, , , 周PINK下穿94, , 黄金柱(1次), 倍量柱(3次)",0.017034359456804538,0.018795145915312398,-0.003521572917015721,-0.0015830862988105514,0.09902682926829268,0.0002608055316407065,0.0002837421113678501,-2.523023769985791e-06
GSM,", , 日BLUE>150(3天), 周PINK上穿10, , 周BLUE>150(2周), , ",-0.10573177480359552,-0.14290092493587778,0.0743383002645645,0.015708236070178107,0.03853658536585366,-0.001345091289360209,-0.0019140374604493552,6.258407881980608e-05
GXUS,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(2次)",-0.5455965853257112,-0.4884774638767431,-0.11423824289793616,-0.27621076266806205,0.4292975609756098,-0.00800050829492005,-0.008998822119904621,0.0001098145207483028
HVT.A,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-1.6910855283012154,-1.6312378959950342,-0.11969526461236235,-0.26709552329820085,0.2176319512195122,-0.02677931942333661,-0.02761814140690382,9.227041819239275e-05
HYAC.U,", , , 周PINK上穿10, , , , 倍量柱(3次)",0.005114234901236969,0.03505269257760877,-0.0598769153527436,-0.06476299726109366,0.10539024390243905,-0.0002457749810097637,0.00017961302105107344,-4.679268022669209e-05
IBGK,", , 日BLUE>150(4天), , , 周BLUE>150(5周), , 倍量柱(2次)",-0.502660928222042,-0.4293327439318319,-0.1466563685804202,-0.18317943179080026,0.2287331707317073,-0.007758749980645435,-0.007538429286618063,-2.423527634301097e-05
IBII,", , 日BLUE>150(3天), , , 周BLUE>150(3周), , 倍量柱(1次)",-0.20364608026221376,-0.18931114406239374,-0.02866987239964003,-0.06823906448277735,0.24130975609756097,-0.003100427448453541,-0.0032117418161761334,1.2244580449485157e-05
IBTP,", , 日BLUE>150(4天), , , 周BLUE>150(3周), , ",-0.2147249045457258,-0.19058099181255117,-0.04828782546634924,-0.06870071020551818,0.24064390243902437,-0.003311699027233661,-0.0032824232005590915,-3.2203409342026513e-06
IFEB,", , 日BLUE>150(3天), 周PINK上穿10, , 周BLUE>150(2周), , 倍量柱(3次)",-0.21456056943874202,-0.23249873104272506,0.03587632320796608,-0.0445258844615451,0.24868292682926826,-0.003098182942979394,-0.0037942243380099374,7.65645534533598e-05
IGCB,", , 日BLUE>150(3天), , , 周BLUE>150(3周), , 倍量柱(1次)",-0.30052612527690314,-0.23927904671719763,-0.12249415711941103,-0.17495888976978352,0.4353170731707317,-0.004339530160222316,-0.004221399672983943,-1.2994353596221037e-05
IGT,", , 日BLUE>150(4天), , , 周BLUE>150(4周), , ",-0.5719818553878895,-0.73578587311484,0.32760803545390105,0.14534824817903474,0.17273170731707319,-0.008222830122726205,-0.010297185322463424,0.00022817907197109416
IJAN,", , 日BLUE>150(4天), 周PINK上穿10, , 周BLUE>150(3周), , 倍量柱(1次)",-0.30555120981015804,-0.3316901208663724,0.05227782211242871,-0.06361027982838502,0.2983419512195122,-0.004332253584420076,-0.0053487918447469454,0.00011181920863595565
ILF,"日PINK上穿10, , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.7588011858124233,-0.8939204802287434,0.2702385888326402,0.01682168256950188,0.21031707317073173,-0.011038463362155498,-0.013429881110236628,0.00026305595228892425
IPAV,"日PINK上穿10, , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.2988199148448132,-0.2777981286596844,-0.042043572370257576,-0.1308664778944948,0.22634146341463415,-0.004293000472169434,-0.004834072163671376,5.9517886065213646e-05
IQDG,", , 日BLUE>150(3天), 周PINK上穿10, , 周BLUE>150(4周), 黄金柱(1次), 倍量柱(2次)",-0.47518747410174456,-0.4972973913617135,0.04421983451993794,-0.1840857241769914,0.3416829268292683,-0.006677938896590241,-0.00859566116685538,0.00021094944972916522
JDOC,"日PINK上穿10, , , , , 周BLUE>150(4周), , 倍量柱(1次)",-1.6753366055576038,-1.8457874907808387,0.34090177044646985,-0.11967380606140013,0.5028780487804878,-0.024491366841663698,-0.02844392419704339,0.00043478130909176626
JDVI,", , 日BLUE>150(4天), 周PINK上穿10, , 周BLUE>150(3周), 黄金柱(1次), 倍量柱(2次)",-0.3819127225323342,-0.4124082388259267,0.06099103258718497,-0.09074863818751501,0.25153658536585366,-0.0055452594750706186,-0.006901418545502043,0.0001491774977474567
