symbol,company_name,signals,price,volume,turnover,pink_daily,blue_daily,pink_weekly,blue_weekly,lired_daily,lired_weekly,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,"日BLUE>150(3天), 周PINK上穿10",22.8,1785.0,40698.0,5.795591576021349,0.0,4.356064899705919,0.0,0,0,-1.0185531844080273,-0.7640593876688547,-0.5089875934783452,-0.6539643878723551,0.22195097560975613,-0.015744833203354153,-0.01563457360940456,-1.2128555334455157e-05
ACTV,LeaderShares Activist Leaders ETF,"日BLUE>150(3天), 周PINK上穿10, , 倍量柱(2次)",31.15,12318.0,383705.69999999995,19.014660356500062,0.0,9.767520916750833,0.0,0,0,-0.3910723258565376,-0.4274662722883463,0.07278789286361742,-0.028122008887478355,0.30385585365853657,-0.005692486689796772,-0.006443076314416676,8.256485870818943e-05
ADAG,Adagene Inc. American Depositary Shares,"周PINK上穿10, , 倍量柱(2次)",1.74,67669.0,117744.06,17.349979715724132,0.0,9.808877671244899,0.0,0,0,-0.061961980431217256,-0.01210344168030194,-0.09971707750183063,-0.0861672754654841,0.01704951219512195,-0.0011378182410935467,-0.0008048694215316264,-3.662437015181123e-05
AGOX,Adaptive Alpha Opportunities ETF,"日BLUE>150(3天), 周PINK上穿10, 周BLUE>150(2周), 倍量柱(1次)",24.5,13276.0,325262.0,7.835323505660821,200.0,7.292594062339851,179.56539145600186,0,0,-1.1039970515963695,-0.9488799844244528,-0.3102341343438335,-0.43924248724970794,0.2379087804878049,-0.016596535579997268,-0.01606006854798752,-5.901137352107226e-05
ARL,"American Realty Investors, Inc.","周PINK上穿10, , 倍量柱(2次)",13.0,2843.0,36959.0,27.26154882472191,0.0,7.566542311869721,0.0,0,0,-0.25011178194964323,-0.12676340500331762,-0.24669675389265122,-0.11773877223803637,0.12904878048780488,-0.004580062984126193,-0.0033700755653063063,-0.00013309861607018755
ARMP,"Armata Pharmaceuticals, Inc. Common Stock","周PINK上穿10, , 倍量柱(2次)",1.79,83672.0,149772.88,19.06559722900763,98.19115810805312,7.066753175220727,167.07043534550738,0,0,-0.038511222088678077,-0.02065862232814894,-0.03570519952105827,-0.013871606476136986,0.01870731707317073,-0.0003937519013359446,-0.00032620136785214125,-7.430558683218368e-06
AUB,Atlantic Union Bankshares Corporation,"日PINK上穿10, , 周PINK上穿10",32.09,515380.0,16538544.200000001,9.298487310625642,0.0,8.03209805385778,0.0,0,0,-1.4428841975230853,-1.4952061595407118,0.10464392403525302,-0.14589866484972341,0.313219512195122,-0.021673541443237354,-0.02327624081402066,0.00017629693078616366
AVNT,Avient Corporation,"日PINK上穿10, , 周PINK上穿10",37.84,493703.0,18681721.520000003,7.969660797705299,84.81688578354793,8.977949540003962,69.67136181953481,0,0,-1.1805568664460466,-0.788784547269112,-0.7835446383538693,-0.6142446864240194,0.3715365853658536,-0.019397734587376814,-0.01604662962107179,-0.0003686215462935525
AWEG,Alger Weatherbie Enduring Growth ETF,"日BLUE>150(4天), , 周BLUE>150(2周), 倍量柱(2次)",22.4974,8.0,179.9792,20.92829004005634,0.0,6.085651496033703,0.0,0,0,-0.8238790358230972,-0.9300933345321984,0.21242859741820252,-0.06134828046401958,0.21948682926829266,-0.011681689061751044,-0.014012296973918351,0.0002563668703384038
BAH,Booz Allen Hamilton Holding Corporation,"日PINK上穿10, , 周PINK上穿10",103.56,1332286.0,137971538.16,9.29379042188241,90.14068765921533,8.251999200387965,140.6836231297022,0,0,-3.996049702172485,-4.205807543315965,0.4195156822869599,2.2748474319337424,1.0053536585365854,-0.07383440833013744,-0.0589785056820311,-0.0016341492912916972
