symbol,company_name,signals,price,volume,turnover,pink_daily,blue_daily,pink_weekly,blue_weekly,lired_daily,lired_weekly,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,"日BLUE>150(3天), , 周BLUE>150(3周), 倍量柱(1次)",20.9,956.0,19980.399999999998,31.978713005240007,0.0,18.56639274845882,0.0,0,0,-0.9888494237046785,-1.0476130784677868,0.1175273095262166,-0.07632935408692693,0.20365853658536584,-0.014727459245113456,-0.016152314207621137,0.0001567340458758449
ABLVW,Able View Global Inc. Warrant,"日PINK上穿10, , 周PINK上穿10, , 倍量柱(2次)",0.012,6305.0,75.66,4.786822045050208,200.0,7.611055142292257,0.0,0,0,-0.0027065796584306474,-0.0005649277078487547,-0.0042833039011637855,-0.003105685662771088,0.00011731707317073172,-4.482668479001447e-05,-2.484716984669099e-05,-2.1977466437655827e-06
ACIU,AC Immune SA,"日BLUE>150(3天), , 周BLUE>150(6周)",1.485,17453.0,25917.705,5.273182883176686,0.0,2.1195688551399643,0.0,0,0,-0.2573708749403838,-0.2560182063677513,-0.0027053371452649966,-0.03669087976280622,0.0145,-0.004004548797935631,-0.004181860906777196,1.9504331972572138e-05
AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,"日BLUE>150(3天), , 周BLUE>150(3周)",27.415,225.0,6168.375,4.20161192228301,0.0,-1.0997979699598364,0.0,0,0,-1.2604729209381844,-1.377489429963927,0.23403301805148535,-0.03514170935900196,0.26746341463414636,-0.019220573437594923,-0.021527736627328854,0.0002537879508707324
AHH,"Armada Hoffler Properties, Inc.","日BLUE>150(4天), , 周BLUE>150(4周), 倍量柱(1次)",6.755,290626.0,1963178.63,20.573459416436354,0.0,9.747082239016079,0.0,0,0,-0.5116023720684346,-0.5813478657030441,0.13949098726921894,0.060779067776677964,0.0655,-0.007978554187626746,-0.008849791690662731,9.583612533395832e-05
ALGM,"Allegro MicroSystems, Inc. Common Stock","日PINK上穿10, 周BLUE>150(2周), 倍量柱(1次)",17.9303,1401972.0,25137778.551599998,4.913480174014136,59.51690137533495,10.038176486747824,200.0,0,0,-2.2445820542867345,-1.3327811352388619,-1.8236018380957453,-1.620047510926667,0.17755024390243904,-0.03537750515728111,-0.029310273640819704,-0.0006673954668107544
ALTO,"Alto Ingredients, Inc. Common Stock","日BLUE>150(3天), , 周BLUE>150(3周)",0.8215,91326.0,75024.309,5.698589108808033,0.0,1.806929733480859,0.0,0,0,-0.18557407919859548,-0.17934892703651809,-0.012450304324154782,-0.03646738227546718,0.00796268292682927,-0.002848802551364703,-0.002950960933514811,1.1237422036511854e-05
ANGH,Anghami Inc. Ordinary Shares,"日PINK上穿10, 周BLUE>150(4周), 倍量柱(1次)",0.565,306.0,172.89,9.711064401274799,0.0,1.6063595066112304,0.0,0,0,-0.0420562699764645,-0.03285697394898969,-0.01839859205494962,-0.026138627787742265,0.0055463414634146346,-0.000650223041550593,-0.0006535912343181324,3.7050120442934116e-07
AOSL,Alpha and Omega Semiconductor Limited,"日PINK上穿10, 周BLUE>150(2周)",17.88,181811.0,3250780.6799999997,8.833832087681945,0.0,4.615474758130898,0.0,0,0,-3.4227439212647326,-3.217841646179572,-0.40980455017032114,-0.5960485254690286,0.1746829268292683,-0.05482432777232624,-0.055245999089139325,4.6383844849439695e-05
APRH,Innovator Premium Income 20 Barrier ETF - April,"周BLUE>150(2周), 倍量柱(2次)",23.84,12547.0,299120.48,49.23942715067254,0.0,32.925874338901686,0.0,0,0,-0.3355549639151256,-0.3142675987051831,-0.04257473041988502,-0.17301234045048847,0.23275609756097562,-0.00459076744477413,-0.005410704054679304,9.019302708956918e-05
ARRY,"Array Technologies, Inc. Common Stock","日BLUE>150(3天), , 周BLUE>150(3周)",4.14,858094.0,3552509.1599999997,10.596027870487283,0.0,3.682335113701079,0.0,0,0,-0.5770695195290045,-0.5722302016492311,-0.00967863575954686,-0.09017518226759062,0.040143414634146335,-0.00876641711033458,-0.00926190266352207,5.4503410850623816e-05
ASMF,Virtus AlphaSimplex Managed Futures ETF,"周BLUE>150(3周), 倍量柱(3次)",22.47,126617.0,2845083.9899999998,34.436054340801405,0.0,13.864388801357554,0.0,0,0,-0.2967012153428037,-0.3236418475499081,0.05388126441420882,-0.04880334090906893,0.21917048780487808,-0.0042856982522695986,-0.00517260220916388,9.755943525837095e-05
AUGU,AllianzIM U.S. Equity Buffer15 Uncapped Aug ETF,"周BLUE>150(2周), 倍量柱(3次)",24.5252,237994.0,5836850.4488,30.303175723083854,0.0,,0.0,0,0,-0.38199211973879343,-0.4234152491006489,0.08284625872371099,-0.0037412110838419103,0.2396478048780488,-0.005708981074679292,-0.006367464437157541,7.243316987260733e-05
AVXC,Avantis Emerging Markets ex-China Equity ETF,"日BLUE>150(3天), , 周BLUE>150(3周), 倍量柱(1次)",48.07,8609.0,413834.63,63.74128090695956,0.0,32.62065279571509,0.0,0,0,-0.5568458665152818,-0.7839826753774166,0.45427361772426966,-0.06900965428954364,0.4689560975609756,-0.006214370835428085,-0.01079521673669225,0.0005038930491390582
AVSE,Avantis Responsible Emerging Markets Equity ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(1次)",49.76,1142.0,56825.92,58.671198743381225,0.0,33.960718020999366,0.0,0,0,-0.879452580517551,-0.9766844925676242,0.1944638241001464,-0.39766378016599074,0.4857804878048781,-0.010845871451994116,-0.015585374176933106,0.000521345299743289
AWEG,Alger Weatherbie Enduring Growth ETF,"日BLUE>150(3天), , 周BLUE>150(3周), 倍量柱(2次)",21.0241,6.0,126.1446,33.88568398161932,0.0,14.485269138095786,0.0,0,0,-0.6934210385010573,-0.7643825271156419,0.14192297722916924,-0.026386575370365956,0.20511317073170732,-0.010617377652915871,-0.0123842136167134,0.00019435195601772822
AZTA,"Azenta, Inc.","日BLUE>150(7天), , 周BLUE>150(3周)",24.92,170473.0,4248187.16,1.4957865159601376,170.09964532482346,0.9697272959351753,171.59153718471998,0,0,-4.8358404270354285,-4.4124225003502655,-0.846835853370326,-1.0731692662986052,0.24395121951219514,-0.07615231907595221,-0.07556492926796379,-6.461287887872618e-05
BBH,VanEck Biotech ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(1次)",143.94,3797.0,546540.1799999999,32.62766805860736,0.0,17.93316786417437,0.0,0,0,-5.592317124596605,-5.1028425242070945,-0.9789492007790201,-2.13531050003219,1.4054368292682928,-0.08138725714079986,-0.08674241531239249,0.000589067398875189
BEEZ,Honeytree U.S. Equity ETF,"日BLUE>150(4天), , 周BLUE>150(2周), 倍量柱(2次)",28.9178,20.0,578.356,41.74632653705606,0.0,23.732992743080406,0.0,0,0,-0.6538359264019711,-0.7306270684547553,0.1535822841055685,-0.06018171828822144,0.2821248780487805,-0.009407939184071623,-0.011469176180373053,0.00022673606959315722
BELT,BlackRock ETF Trust iShares Long-Term U.S. Equity Active ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(1次)",26.0172,439.0,11421.550799999999,40.537235350820595,0.0,28.200995676496543,0.0,0,0,-0.8996438845001009,-0.9649168653006166,0.13054596160103138,-0.054428429440315756,0.25323024390243903,-0.013573631417402698,-0.015090638907823374,0.00016687082394627428
BENF,Beneficient Class A Common Stock,"日PINK上穿10, 周BLUE>150(6周), 倍量柱(1次)",0.278,75367.0,20952.026,7.254236085054776,0.0,0.4378075522991607,0.0,0,0,-0.028779280563902887,-0.035106325161699814,0.012654089195593854,0.016156040022932125,0.002731707317073171,-0.0005327705416201278,-0.0005503485818693651,1.9335844274161023e-06
BGRO,BlackRock ETF Trust iShares Large Cap Growth Active ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(1次)",28.75,379.0,10896.25,30.89859193249506,0.0,20.153799966612247,0.0,0,0,-0.9266394826145721,-1.0698191669058879,0.28635936858263156,0.1762153848798299,0.2808780487804878,-0.014087506825787244,-0.015196260856033142,0.00012196294332704875
BIO.B,"Bio-Rad Laboratories, Inc. Class B","周BLUE>150(2周), 倍量柱(1次)",225.29,284.0,63982.36,-6.346948465717912,186.9515769022942,-2.962143006176796,181.04533420692414,0,0,-26.338139658380214,-8.381712361818156,-35.912854593124116,-15.914057019838035,2.197951219512195,-0.553967471406319,-0.3197603222686135,-0.025762786405147602
