Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,603628,18.08,17.27,18.36,17.21,359183,641658374.0,6.36,-4.48,-0.81,13.12
2024-03-08,603628,17.37,18.18,18.38,17.29,403382,732400939.0,6.31,5.27,0.91,14.73
2024-03-11,603628,18.63,20.01,20.01,18.49,541945,1049348898.0,8.36,10.07,1.83,19.79
2024-03-12,603628,20.83,19.88,21.97,19.83,755132,1580804276.0,10.69,-0.65,-0.13,27.58
2024-03-13,603628,19.85,19.44,20.33,19.19,428726,843203627.0,5.73,-2.21,-0.44,15.66
2024-03-14,603628,19.03,19.2,19.58,18.73,305756,589928718.0,4.37,-1.23,-0.24,11.17
2024-03-15,603628,19.02,19.16,19.25,18.61,236251,449833489.0,3.33,-0.21,-0.04,8.63
2024-03-18,603628,19.38,19.54,19.65,18.98,295098,574100277.0,3.5,1.98,0.38,10.78
2024-03-19,603628,19.38,19.11,19.67,19.07,246111,478530699.0,3.07,-2.2,-0.43,8.99
2024-03-20,603628,18.98,19.18,19.5,18.78,182624,352703838.0,3.77,0.37,0.07,6.67
2024-03-21,603628,19.02,18.79,19.13,18.64,192371,364892343.0,2.55,-2.03,-0.39,7.03
2024-03-22,603628,18.8,17.81,18.94,17.81,218463,399859301.0,6.01,-5.22,-0.98,7.98
2024-03-25,603628,17.63,17.68,18.25,17.5,176559,316933460.0,4.21,-0.73,-0.13,6.45
2024-03-26,603628,17.52,17.31,17.7,16.84,194010,336554377.0,4.86,-2.09,-0.37,7.09
2024-03-27,603628,17.11,16.07,17.12,16.05,181218,302664917.0,6.18,-7.16,-1.24,6.62
2024-03-28,603628,16.06,16.35,16.53,16.06,138589,228187418.0,2.92,1.74,0.28,5.06
2024-03-29,603628,16.33,16.72,17.14,16.31,170658,288293458.0,5.08,2.26,0.37,6.23
2024-04-01,603628,16.68,17.08,17.15,16.59,143460,245047702.0,3.35,2.15,0.36,5.24
2024-04-02,603628,17.07,16.61,17.07,16.46,123342,207489141.0,3.57,-2.75,-0.47,4.5
2024-04-03,603628,16.67,16.09,16.67,15.96,102205,166589200.0,4.27,-3.13,-0.52,3.73
2024-04-08,603628,16.08,15.5,16.08,15.48,102422,162489309.0,3.73,-3.67,-0.59,3.74
2024-04-09,603628,15.59,16.01,16.04,15.59,106883,171773879.0,2.9,3.29,0.51,3.9
2024-04-10,603628,16.01,16.15,16.41,15.72,152203,246180046.0,4.31,0.87,0.14,5.56
2024-04-11,603628,16.07,17.3,17.58,15.64,297567,504458585.0,12.01,7.12,1.15,10.87
2024-04-12,603628,17.66,16.98,17.71,16.88,296383,518393464.0,4.8,-1.85,-0.32,10.82
2024-04-15,603628,16.74,17.3,17.39,16.4,197797,339545745.0,5.83,1.88,0.32,7.22
2024-04-16,603628,16.79,15.56,16.96,15.56,187223,299105865.0,8.09,-10.06,-1.74,6.84
2024-04-17,603628,15.34,16.03,16.22,15.34,135743,218691151.0,5.66,3.02,0.47,4.96
2024-04-18,603628,15.84,15.57,15.97,15.41,125839,199297620.0,3.49,-2.87,-0.46,4.6
2024-04-19,603628,15.43,14.91,15.55,14.78,143800,217676669.0,4.95,-4.24,-0.66,5.25
2024-04-22,603628,14.98,15.02,15.5,14.63,117373,178927714.0,5.84,0.74,0.11,4.29
2024-04-23,603628,15.05,14.72,15.24,14.72,90369,135675754.0,3.46,-2.0,-0.3,3.3
2024-04-24,603628,14.72,14.78,14.81,14.55,81212,120400576.0,1.77,0.41,0.06,2.97
2024-04-25,603628,14.88,14.98,15.23,14.73,110328,166990611.0,3.38,1.35,0.2,4.03
2024-04-26,603628,15.08,15.13,15.21,14.72,124368,188624335.0,3.27,1.0,0.15,4.54
2024-04-29,603628,15.06,15.76,15.79,15.04,152441,238859883.0,4.96,4.16,0.63,5.57
2024-04-30,603628,15.49,14.66,15.66,14.61,200802,303264491.0,6.66,-6.98,-1.1,7.33
2024-05-06,603628,14.77,15.05,15.06,14.73,126398,190030567.0,2.25,2.66,0.39,4.62
2024-05-07,603628,15.02,15.94,16.54,14.9,251152,398414631.0,10.9,5.91,0.89,9.17
2024-05-08,603628,15.77,16.18,16.33,15.69,235728,381907951.0,4.02,1.51,0.24,8.61
2024-05-09,603628,15.98,16.4,16.93,15.96,263984,440566333.0,6.0,1.36,0.22,9.64
2024-05-10,603628,16.5,15.77,16.53,15.62,175423,280397332.0,5.55,-3.84,-0.63,6.41
2024-05-13,603628,15.58,15.61,16.02,15.28,107564,170060854.0,4.69,-1.01,-0.16,3.93
2024-05-14,603628,15.64,15.66,15.86,15.2,124588,194178430.0,4.23,0.32,0.05,4.55
2024-05-15,603628,15.66,15.29,15.98,15.27,99656,155951604.0,4.53,-2.36,-0.37,3.64
2024-05-16,603628,15.11,15.03,15.25,14.94,84016,127833886.0,2.03,-1.7,-0.26,3.07
2024-05-17,603628,14.98,14.91,15.06,14.72,75801,113500781.0,2.26,-0.8,-0.12,2.77
2024-05-20,603628,14.94,14.98,15.17,14.94,67636,102519889.0,1.54,0.47,0.07,2.47
2024-05-21,603628,15.04,14.82,15.04,14.75,57637,86190980.0,1.94,-1.07,-0.16,2.11
2024-05-22,603628,15.13,16.31,16.31,15.13,190891,310878803.0,7.96,10.05,1.49,6.97
2024-05-23,603628,17.95,17.95,17.95,17.95,77934,140826774.0,0.0,10.06,1.64,2.85
2024-05-24,603628,17.88,17.84,19.58,17.43,743127,1373485789.0,11.98,-0.61,-0.11,27.14
2024-05-27,603628,17.33,16.1,17.59,16.04,471641,774892517.0,8.69,-9.75,-1.74,17.23
2024-05-28,603628,15.54,16.13,16.23,15.39,367379,585306960.0,5.22,0.19,0.03,13.42
2024-05-29,603628,16.03,16.56,17.54,15.96,467436,793865130.0,9.8,2.67,0.43,17.07
2024-05-30,603628,16.29,15.97,16.82,15.88,283864,462897896.0,5.68,-3.56,-0.59,10.37
2024-05-31,603628,15.79,15.45,16.06,15.43,218080,343168411.0,3.94,-3.26,-0.52,7.96
2024-06-03,603628,15.41,15.04,15.44,14.78,171249,258672658.0,4.27,-2.65,-0.41,6.25
2024-06-04,603628,14.9,15.23,15.23,14.56,162697,245235855.0,4.45,1.26,0.19,5.94
