Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,000403,26.54,25.65,26.62,25.59,40054,105891718.3,3.88,-3.35,-0.89,0.58
2024-03-08,000403,25.72,25.75,25.89,25.38,37601,97705609.0,1.99,0.39,0.1,0.55
2024-03-11,000403,25.75,27.25,27.32,25.6,59767,161223450.6,6.68,5.83,1.5,0.87
2024-03-12,000403,27.85,27.93,29.65,27.65,98573,280973076.33,7.34,2.5,0.68,1.43
2024-03-13,000403,27.92,28.68,28.92,27.72,70761,203883843.18,4.3,2.69,0.75,1.03
2024-03-14,000403,28.63,28.27,28.89,28.25,38893,112191345.72,2.23,-1.43,-0.41,0.57
2024-03-15,000403,28.49,28.9,28.9,28.2,38283,110909838.42,2.48,2.23,0.63,0.56
2024-03-18,000403,28.45,28.66,29.24,28.41,38079,110729839.16,2.87,-0.83,-0.24,0.55
2024-03-19,000403,28.67,27.67,28.95,27.65,45044,127661868.94,4.54,-3.45,-0.99,0.66
2024-03-20,000403,27.67,27.29,27.81,27.13,46890,129662463.85,2.46,-1.37,-0.38,0.68
2024-03-21,000403,27.25,27.88,28.39,27.25,62337,176590719.81,4.18,2.16,0.59,0.91
2024-03-22,000403,27.88,27.83,28.13,27.2,51455,143815082.95,3.34,-0.18,-0.05,0.75
2024-03-25,000403,27.58,27.62,28.03,27.46,45336,127680184.68,2.05,-0.75,-0.21,0.66
2024-03-26,000403,27.77,27.72,28.26,27.32,56982,161029749.3,3.4,0.36,0.1,0.83
2024-03-27,000403,27.75,27.82,28.43,27.38,44950,127268762.34,3.79,0.36,0.1,0.65
2024-03-28,000403,27.66,26.7,28.28,26.53,81123,222508601.4,6.29,-4.03,-1.12,1.18
2024-03-29,000403,26.71,27.79,27.81,26.69,48102,133535641.86,4.19,4.08,1.09,0.7
2024-04-01,000403,27.99,28.61,28.64,27.19,51490,146490451.96,5.22,2.95,0.82,0.75
2024-04-02,000403,28.31,28.58,28.65,28.03,36891,106053713.98,2.17,-0.1,-0.03,0.54
2024-04-03,000403,28.54,28.71,29.22,28.24,44259,129182565.68,3.43,0.45,0.13,0.64
2024-04-08,000403,28.65,27.98,28.8,27.85,56152,159896394.04,3.31,-2.54,-0.73,0.82
2024-04-09,000403,27.97,28.02,28.14,27.54,26094,73350471.17,2.14,0.14,0.04,0.38
2024-04-10,000403,28.06,27.79,28.1,27.64,21489,60453746.28,1.64,-0.82,-0.23,0.31
2024-04-11,000403,27.66,27.75,28.03,27.53,20227,56986305.0,1.8,-0.14,-0.04,0.29
2024-04-12,000403,27.72,27.96,28.31,27.72,20342,57869396.06,2.13,0.76,0.21,0.3
2024-04-15,000403,28.57,29.24,29.42,27.7,69082,201721495.92,6.15,4.58,1.28,1.0
2024-04-16,000403,29.27,29.32,30.29,29.09,57167,170706048.96,4.1,0.27,0.08,0.83
2024-04-17,000403,29.48,29.13,29.74,28.73,45828,134645448.56,3.44,-0.65,-0.19,0.67
2024-04-18,000403,29.05,29.45,29.73,28.95,47799,142659921.08,2.68,1.1,0.32,0.7
2024-04-19,000403,29.35,29.65,29.72,28.65,47621,141247665.34,3.63,0.68,0.2,0.69
2024-04-22,000403,29.65,29.28,29.87,29.23,44005,131635855.75,2.16,-1.25,-0.37,0.64
2024-04-23,000403,29.28,28.99,29.51,28.53,25240,74017264.16,3.35,-0.99,-0.29,0.37
2024-04-24,000403,28.88,29.34,29.4,28.84,29470,86804462.05,1.93,1.21,0.35,0.43
2024-04-25,000403,29.16,29.5,29.85,29.16,36766,109859534.89,2.35,0.55,0.16,0.53
2024-04-26,000403,29.57,29.52,29.75,29.23,34625,103162088.2,1.76,0.07,0.02,0.5
2024-04-29,000403,29.55,29.42,29.63,28.06,85607,252361877.73,5.32,-0.34,-0.1,1.24
2024-04-30,000403,29.3,28.94,29.63,28.91,51280,151963152.47,2.45,-1.63,-0.48,0.75
2024-05-06,000403,29.15,29.99,29.99,28.9,94390,283545302.64,3.77,3.63,1.05,1.37
2024-05-07,000403,30.11,29.55,30.13,29.26,68913,206575165.77,2.9,-1.47,-0.44,1.0
2024-05-08,000403,29.45,29.45,30.12,29.36,52630,158506885.07,2.57,-0.34,-0.1,0.77
2024-05-09,000403,29.45,29.41,29.85,28.45,58802,174314991.99,4.75,-0.14,-0.04,0.86
2024-05-10,000403,29.35,28.5,29.45,28.38,75283,218721161.2,3.64,-3.09,-0.91,1.09
2024-05-13,000403,28.55,28.55,29.25,28.35,52962,153979607.18,3.16,0.18,0.05,0.77
2024-05-14,000403,28.59,28.28,28.89,28.21,50130,144772789.0,2.38,-0.95,-0.27,0.73
2024-05-15,000403,28.55,27.62,28.55,27.57,62925,177144560.04,3.47,-2.33,-0.66,0.92
2024-05-16,000403,27.62,27.06,27.75,26.86,60667,167396702.26,3.22,-2.03,-0.56,0.88
2024-05-17,000403,27.21,26.96,27.37,26.55,50023,136013236.02,3.03,-0.37,-0.1,0.73
2024-05-20,000403,26.83,26.57,27.1,26.37,72877,196244406.5,2.71,-1.45,-0.39,1.06
2024-05-21,000403,26.46,25.87,26.54,25.68,122334,321048188.68,3.24,-2.63,-0.7,1.78
2024-05-22,000403,26.0,25.82,26.38,25.63,79872,209710224.33,2.9,-0.19,-0.05,1.16
2024-05-23,000403,25.93,26.44,26.89,25.84,102987,276020287.55,4.07,2.4,0.62,1.5
2024-05-24,000403,26.26,26.35,26.95,26.19,52415,140944758.44,2.87,-0.34,-0.09,0.76
2024-05-27,000403,26.25,26.23,26.31,25.68,54170,142867829.24,2.39,-0.46,-0.12,0.79
2024-05-28,000403,26.11,25.45,26.25,25.35,67648,175784244.97,3.43,-2.97,-0.78,0.98
2024-05-29,000403,25.31,26.28,26.44,25.3,97428,256307883.87,4.48,3.26,0.83,1.42
2024-05-30,000403,26.16,26.89,27.35,26.01,69505,189966986.37,5.1,2.32,0.61,1.01
2024-05-31,000403,27.04,27.3,27.53,26.9,56625,156163460.89,2.34,1.52,0.41,0.82
2024-06-03,000403,27.46,28.04,28.65,27.23,107188,304089082.25,5.2,2.71,0.74,1.56
2024-06-04,000403,28.09,28.28,28.46,27.91,57130,163017270.56,1.96,0.86,0.24,0.83
2024-06-05,000403,28.18,28.48,28.83,28.18,49405,143077825.27,2.3,0.71,0.2,0.72
2024-06-06,000403,28.55,28.11,29.09,27.96,69003,197847284.68,3.97,-1.3,-0.37,1.0
2024-06-07,000403,28.05,27.48,28.16,27.2,77949,217072578.2,3.42,-2.24,-0.63,1.13
2024-06-11,000403,27.49,28.7,28.75,27.4,63964,182999770.81,4.91,4.44,1.22,0.93
2024-06-12,000403,28.65,29.18,29.4,28.43,69632,205350228.55,3.38,1.67,0.48,1.01
2024-06-13,000403,29.18,29.19,29.57,28.88,77983,230456708.36,2.36,0.03,0.01,1.13
2024-06-14,000403,29.16,27.71,29.35,27.6,162755,465697216.43,6.0,-5.07,-1.48,2.37
2024-06-17,000403,28.07,28.47,28.53,27.77,60312,172666003.19,2.74,2.74,0.76,0.88
2024-06-18,000403,28.47,28.04,28.89,27.94,45713,131487797.29,3.34,-1.51,-0.43,0.66
2024-06-19,000403,28.15,28.07,28.35,27.86,30709,87182428.01,1.75,0.11,0.03,0.45
2024-06-20,000403,28.04,27.73,28.26,27.52,29339,82588218.22,2.64,-1.21,-0.34,0.43
2024-06-21,000403,27.73,27.59,28.24,27.55,43372,121983335.35,2.49,-0.5,-0.14,0.63
2024-06-24,000403,27.65,26.98,27.82,26.97,55510,153137577.81,3.08,-2.21,-0.61,0.81
2024-06-25,000403,26.95,26.52,27.35,26.37,69649,187714818.91,3.63,-1.7,-0.46,1.01
2024-06-26,000403,26.27,26.62,26.8,26.27,49462,133315290.0,2.0,0.38,0.1,0.72
2024-06-27,000403,26.69,26.28,26.83,26.14,42301,113106670.16,2.59,-1.28,-0.34,0.61
2024-06-28,000403,26.5,26.51,27.31,26.3,55626,150447245.25,3.84,0.88,0.23,0.81
2024-07-01,000403,26.54,27.35,27.5,26.05,62520,168721209.12,5.47,3.17,0.84,0.92
2024-07-02,000403,27.34,27.65,27.82,27.23,60023,166550087.18,2.16,1.1,0.3,0.88
2024-07-03,000403,27.45,26.84,27.75,26.58,40531,109741855.07,4.23,-2.93,-0.81,0.59
