symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
000002.SZ,万科A,4.74,1205455.09,571.3857126600001,0.0,0,0.0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,-106.83945284377299,-118.19750117622442
000048.SZ,京基智农,16.27,420785.4,684.6178458,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,214.60624122221043,-15.139949109414655
000403.SZ,派林生物,13.9,126858.7,176.333593,0.0,2,184.74006440076138,114.51912377704879,5,114.51912377704879,False,True,False,0,1,0,1,False,True,105.54024255788349,-120.04417171755192
000568.SZ,泸州老窖,117.21,98905.91,1159.27617111,200.0,4,200.0,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-198.6936569160185,-165.62731945533133
000625.SZ,长安汽车,11.9,589086.33,701.0127327,0.0,0,0.0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,51.82760501909488,-58.40745446844558
000685.SZ,中山公用,11.19,144843.29,162.07964151000002,167.53787999320943,4,167.53787999320943,0.0,0,0.0,True,False,False,0,0,0,1,False,True,-66.77486250112699,-147.09671686880776
000795.SZ,英洛华,9.96,106760.81,106.33376676,0.0,0,0.0,0.0,2,189.24156537183887,False,True,False,0,1,0,1,False,True,78.92720306513577,-87.75343155773865
000818.SZ,航锦科技,19.19,89347.83,171.45848577,0.0,0,0.0,0.0,3,200.00000000000003,False,True,False,0,0,0,1,False,True,60.44552450384751,-122.12365591397847
000858.SZ,五粮液,108.06,195452.51,2112.0598230600003,96.76684749939183,1,104.18580669263103,154.134221902666,3,154.134221902666,False,True,False,0,0,1,1,True,True,-135.58558558558659,-171.25390769882878
000876.SZ,新希望,9.2,294755.67,271.1752164,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,86.30136986301278,-101.70328734457543
002032.SZ,苏泊尔,44.48,55552.5,247.09751999999997,80.11103487703822,0,0.0,146.06760092176097,2,146.06760092176097,False,True,False,1,0,1,1,True,True,-191.60608704080707,-211.22456640888973
002081.SZ,金螳螂,3.54,1846974.56,653.82899424,0.0,0,0.0,0.0,3,166.99878800557667,False,True,False,0,0,0,0,False,False,258.5535094742467,65.02732240437135
002123.SZ,梦网科技,12.59,306636.32,386.05512688000005,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,38.14985569174254,46.2340180573229
002122.SZ,ST汇洲,3.06,711250.03,217.64250918000002,0.0,0,0.0,0.0,2,180.1789283543726,False,True,False,0,0,0,1,False,True,68.90965732087238,-92.41152263374477
002180.SZ,纳思达,19.81,218802.48,433.44771288,0.0,0,0.0,0.0,2,168.05322825851164,False,True,False,0,1,0,1,False,True,107.40491038822462,-49.45925067593683
002179.SZ,中航光电,36.05,744978.7,2685.6482134999997,0.0,0,0.0,0.0,3,176.58277827096944,False,True,False,0,0,0,0,False,False,212.42736644798532,-33.51227252776927
002221.SZ,东华能源,8.28,235964.87,195.37891236,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,175.5602988260409,-33.73582144163935
002254.SZ,泰和新材,10.27,307082.49,315.37371722999995,0.0,0,0.0,0.0,2,200.00000000000003,False,True,False,0,1,0,1,False,True,204.97114957833995,40.840473276213864
002252.SZ,上海莱士,6.39,216862.0,138.574818,0.0,0,0.0,0.0,4,200.0,False,True,False,0,0,0,1,False,True,0.8871989860579683,-142.0641803989598
002304.SZ,洋河股份,61.47,46477.69,285.69836043000004,127.55411657519811,1,127.55411657519811,197.85952188083786,3,197.85952188083786,False,True,False,0,1,1,1,True,True,-212.54199328107666,-125.29446182807975
002352.SZ,顺丰控股,38.63,225058.45,869.4007923500002,0.0,0,0.0,0.0,3,113.28062383271853,False,True,False,0,1,0,1,False,True,109.44844124700259,-68.18255120141923
002385.SZ,大北农,4.02,579124.88,232.80820176,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,2,False,True,131.62393162393178,-96.35854341736733
002390.SZ,信邦制药,3.23,347899.61,112.37157402999999,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-63.79928315412186,-161.48812862217247
002568.SZ,百润股份,21.49,59358.7,127.56184629999997,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,20.61579651941207,-123.41167009203845
002675.SZ,东诚药业,13.63,74178.65,101.10549995000001,0.0,0,0.0,0.0,2,124.77324349002025,False,True,False,0,1,0,1,False,True,-0.06222222222243099,-155.0838177070171
002727.SZ,一心堂,13.37,115130.39,153.92933143,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,22.070769654412995,-5.036140527819838
002843.SZ,泰嘉股份,20.73,322452.09,668.4431825700001,0.0,0,0.0,0.0,3,153.5119326744011,False,True,False,0,0,0,1,False,True,159.00117409249864,-13.288604566494872
002929.SZ,润建股份,39.86,34645.7,138.09776019999998,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,65.92297476759639,-90.05989775806827
003010.SZ,若羽臣,36.35,58893.0,214.07605500000003,0.0,0,0.0,0.0,2,191.4573544103011,False,True,False,0,0,0,0,False,False,70.91834273862878,-55.28993133864566
300015.SZ,爱尔眼科,11.03,384971.29,424.62333286999996,0.0,0,0.0,0.0,3,200.00000000000003,False,True,False,0,0,0,1,False,True,-77.91234140714992,-108.15156599552589
300027.SZ,华谊兄弟,2.14,609129.45,130.3537023,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-29.51875100595472,-164.70588235294107
300061.SZ,旗天科技,10.36,107018.29,110.87094843999999,0.0,1,151.8348743070983,135.02835899119262,2,135.02835899119262,False,True,False,0,0,1,1,True,True,-59.0874524714836,-138.71003988988127
300047.SZ,天源迪科,12.4,254694.43,315.8210932,0.0,0,0.0,0.0,2,200.0,False,True,False,0,2,0,1,False,True,87.15728715728775,-155.05059613265203
300075.SZ,数字政通,15.05,99315.18,149.4693459,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,54.017699115044294,-141.69835234474
300077.SZ,国民技术,20.3,83515.23,169.5359169,0.0,0,0.0,0.0,2,145.31627202423084,False,True,False,0,1,0,1,False,True,7.341396138340679,-107.10304755128661
300121.SZ,阳谷华泰,12.96,120506.0,156.175776,143.57782103047188,3,143.57782103047188,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-128.38832382369907,-152.23701886572042
300173.SZ,ST福能,4.22,473741.07,199.91873154,96.53786808052608,1,105.5336783942732,200.0,2,200.0,False,True,False,0,0,1,1,True,True,-112.9455909943715,-258.91443409968963
300180.SZ,华峰超纤,6.95,1305349.87,907.2181596500002,0.0,0,0.0,0.0,4,184.70703842542585,False,True,False,0,1,0,1,False,True,225.21391899600596,-46.43382588114892
300212.SZ,易华录,16.99,147765.38,251.05338062,0.0,0,0.0,0.0,3,192.87623529534,False,True,False,0,1,0,1,False,True,82.44994110718491,-118.43676613207012
300245.SZ,天玑科技,12.14,85846.11,104.21717754000001,0.0,1,110.08258983944977,173.84122859081376,4,173.84122859081376,False,True,False,0,1,1,1,True,True,-74.25024005716709,-218.21125447676962
300287.SZ,飞利信,4.85,224639.65,108.95023025,0.0,0,0.0,0.0,2,131.92763519279663,False,True,False,0,0,0,1,False,True,-81.96975571927128,-158.81584238037811
300291.SZ,百纳千成,6.47,1482844.22,959.40021034,0.0,3,200.0,0.0,0,0.0,True,False,False,0,0,1,1,True,True,216.40774719673786,105.70039065614267
300386.SZ,飞天诚信,17.04,140574.98,239.53976592,0.0,0,0.0,0.0,2,185.66093993680207,False,True,False,0,0,0,1,False,True,210.05967604433164,-51.86729199235698
300460.SZ,ST惠伦,7.82,145032.8,113.41564960000001,151.83518855495106,1,151.83518855495106,136.1393767329085,2,136.1393767329085,False,True,False,0,0,0,2,False,True,-83.30742049469949,-203.9832285115302
300465.SZ,高伟达,19.91,186095.21,370.51556311,200.0,4,200.0,0.0,0,0.0,True,False,False,0,0,0,1,False,True,-70.42754025541365,-144.81567314707533
300558.SZ,贝达药业,46.77,34076.34,159.37504217999998,0.0,0,0.0,0.0,3,164.83445221648716,False,True,False,0,1,0,0,False,True,-33.422380528347176,-83.77307610279101
300552.SZ,万集科技,30.65,212340.0,650.8221,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,44.648607836792536,175.93195140082136
300587.SZ,天铁科技,5.79,567980.83,328.86090056999996,173.45960548262798,3,173.45960548262798,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-260.1450971214604,-207.97063450445737
300623.SZ,捷捷微电,27.33,84018.24,229.62184992,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,0,False,True,54.144947032117045,-57.70791851738394
300627.SZ,华测导航,33.5,238987.44,800.607924,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,102.51366120218614,41.94631539210434
300634.SZ,彩讯股份,24.18,70662.19,170.86117542,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,26.661186463898435,-110.77466565733023
300652.SZ,雷迪克,53.87,47279.3,254.6935891,0.0,0,0.0,0.0,2,199.99999999999997,False,True,False,0,1,0,1,False,True,163.0330986485393,-65.19699707739326
300681.SZ,英搏尔,24.72,63291.07,156.45552504,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,7.24075510731831,-133.5344506517691
300765.SZ,新诺威,36.96,125225.72,462.83426112,0.0,0,0.0,0.0,2,129.73652647976795,False,True,False,0,0,0,0,False,False,51.261312464477825,6.517777985681465
300766.SZ,每日互动,31.48,128475.74,404.44162952,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,37.14366356195344,-119.78887371207908
300831.SZ,派瑞股份,11.09,252615.7,280.1508113,72.98679551862138,0,0.0,191.80441751485256,2,191.80441751485256,False,True,False,0,0,1,1,True,True,-401.4748529289923,-235.30078026680093
301078.SZ,孩子王,10.39,401297.43,416.94802977,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,0,False,True,-16.244259824026283,-0.9733487833140562
301208.SZ,中亦科技,40.69,90615.31,368.71369639,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,167.4142972076682,23.848638368337514
301236.SZ,软通动力,48.26,318694.12,1538.0178231199998,0.0,0,0.0,0.0,2,186.39215912328964,False,True,False,0,1,0,1,False,True,266.1614073767849,-73.57114784804631
301395.SZ,仁信新材,12.29,175968.95,216.26583955,0.0,0,0.0,0.0,2,142.41234975448793,False,True,False,0,0,0,1,False,True,299.4198312236292,185.71178733822936
301498.SZ,乖宝宠物,66.4,42368.16,281.32458240000005,0.0,0,0.0,0.0,2,173.5185829706802,False,True,False,0,0,0,0,False,False,-109.85276295093057,-72.86862776715574
301551.SZ,无线传媒,31.29,46334.0,144.979086,130.94213778570065,2,130.94213778570065,171.66717338260207,2,171.66717338260207,False,True,False,0,0,1,1,True,True,-116.59474196155811,-155.1967876816885
301586.SZ,佳力奇,49.4,23415.1,115.670594,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,213.35487345180462,-27.763532763532996
301592.SZ,六九一二,123.4,8969.18,110.67968120000002,0.0,0,0.0,0.0,2,184.85301280765063,False,True,False,0,1,0,1,False,True,114.45781355982233,-8.313009579500212
600009.SH,上海机场,33.39,107472.53,358.85077766999996,0.0,0,0.0,0.0,2,149.66690274964245,False,True,False,0,0,0,0,False,False,63.93446297292402,147.0468582417986
600016.SH,民生银行,3.86,2461653.06,950.19808116,0.0,0,0.0,200.0,2,200.0,False,True,False,0,0,1,1,True,True,-60.454545454545936,-170.56810403833015
600038.SH,中直股份,35.95,81192.72,291.88782840000005,0.0,0,0.0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,148.0033984706874,-27.60585855131903
600048.SH,保利发展,6.19,1204080.77,745.3259966300001,131.96312066863885,1,131.96312066863885,200.0,5,200.0,False,True,False,0,1,0,1,False,True,-92.95900178253171,-119.89072518739263
600050.SH,中国联通,5.11,1136357.2,580.6785292000001,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-71.16451016635747,-173.3722690893366
600060.SH,海信视像,24.02,84061.73,201.91627545999998,157.62087323270447,3,157.62087323270447,0.0,0,0.0,True,False,False,0,0,1,0,True,False,-132.53893788703286,-100.70210159268694
600079.SH,ST人福,18.19,369013.31,671.2352108900001,0.0,0,0.0,0.0,3,199.99999999999997,False,True,False,0,1,0,1,False,True,-3.15830416180477,-92.42185102371883
600085.SH,同仁堂,32.46,68264.88,221.58780048000003,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,2.2938285090115627,-162.44661044792488
600126.SH,杭钢股份,8.16,362152.81,295.51669296,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,71.81286549707605,-129.01185389053862
600138.SH,中青旅,9.95,258877.43,257.58304284999997,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,42.30311682131767,152.82816068789433
600153.SH,建发股份,9.48,195075.0,184.9311,0.0,0,0.0,0.0,3,200.0,False,True,False,0,0,0,1,False,True,28.965517241379132,-124.0313244807624
600131.SH,国网信通,16.08,80172.62,128.91757295999997,0.0,0,0.0,0.0,3,192.88276256820086,False,True,False,0,0,0,1,False,True,1.3207547169789926,-107.06306925588596
600180.SH,瑞茂通,3.51,399617.7,140.2658127,130.07524311419886,5,130.07524311419886,170.7698960097332,4,170.7698960097332,True,True,True,0,0,1,1,True,True,-183.2937659368679,-193.40752762964692
600186.SH,莲花控股,6.09,909970.04,554.17175436,0.0,0,0.0,0.0,2,193.28288662816865,False,True,False,0,0,0,0,False,False,82.77079196999769,126.47975077881595
600161.SH,天坛生物,16.59,70137.1,116.35744890000001,0.0,1,112.56608584982551,200.0,5,200.0,False,True,False,0,1,0,1,False,True,51.26533742331389,-112.02411714039582
600215.SH,派斯林,7.14,141380.14,100.94541996000001,0.0,0,0.0,0.0,2,153.50757481694464,False,True,False,0,0,0,1,False,True,144.9929268111086,-21.604938271605025
600285.SH,羚锐制药,20.52,126498.79,259.57551708,160.48655239954644,1,160.48655239954644,200.0,3,200.0,False,True,False,0,0,1,1,True,True,-147.38821723277695,-195.7722038176368
600316.SH,洪都航空,33.91,270020.46,915.63937986,0.0,0,0.0,0.0,3,140.66485456344674,False,True,False,0,1,0,1,False,True,223.5949666039332,-50.938200149365144
600325.SH,华发股份,4.24,311908.96,132.24939904000001,26.871830457720975,0,0.0,200.00000000000003,5,200.00000000000003,False,True,False,0,1,1,2,True,True,-120.0888888888876,-119.92141453831044
600373.SH,中文传媒,9.2,109201.32,100.4652144,200.0,6,200.0,174.47362211982178,3,174.47362211982178,True,True,True,0,0,0,1,False,True,-92.35249430235486,-169.6305137003332
600383.SH,金地集团,3.09,669064.92,206.74106028,0.0,0,0.0,0.0,3,200.00000000000003,False,True,False,0,1,0,1,False,True,-76.83720930232573,-115.36897500299025
600398.SH,海澜之家,6.17,709117.97,437.52578749,0.0,0,0.0,0.0,2,175.71436504221228,False,True,False,0,0,0,2,False,True,61.83504148364876,-60.78431372549022
600436.SH,片仔癀,170.31,18416.84,313.65720204,0.0,0,0.0,0.0,2,191.31883461851166,False,True,False,0,0,0,1,False,True,-96.42926076047117,-85.26899263010647
600529.SH,山东药玻,20.0,68483.0,136.966,0.0,0,0.0,0.0,2,127.49715777012722,False,True,False,0,1,1,1,True,True,-139.4575678040233,-108.47830433913214
600567.SH,山鹰国际,1.71,1100891.8,188.25249780000001,0.0,0,0.0,0.0,2,136.55650216049708,False,True,False,0,0,0,1,False,True,43.28808446455444,-65.2193577566711
600582.SH,天地科技,5.8,186011.2,107.886496,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-12.280701754385985,-116.37931034482756
600576.SH,祥源文旅,6.39,569992.46,364.22518193999997,0.0,0,0.0,0.0,3,200.00000000000003,False,True,False,0,0,0,1,False,True,216.3149847094804,-115.73024164437084
600602.SH,云赛智联,18.79,419582.18,788.3949162199999,0.0,0,0.0,0.0,3,200.0,False,True,False,0,0,0,1,False,True,201.39982502187118,-62.67928075441968
600610.SH,中毅达,10.02,211318.32,211.74095663999998,0.0,0,0.0,0.0,2,116.79979422747573,False,True,False,0,1,0,1,False,True,153.90070921985833,-93.424257184608
600674.SH,川投能源,13.99,307491.94,430.18122406000003,170.21659776935965,3,170.21659776935965,134.6685476642811,1,134.6685476642811,True,False,False,1,0,1,1,True,True,-158.90985324947673,-143.19596798102572
600688.SH,上海石化,2.75,678340.56,186.543654,0.0,0,0.0,0.0,2,185.2627915058796,False,True,False,0,0,0,1,False,True,228.1094527363163,-32.52788104089207
600708.SH,光明地产,3.69,913946.65,337.24631385,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,270.24213622991647,-30.074074074074087
600719.SH,大连热电,6.31,165833.14,104.64071134000001,0.0,0,0.0,0.0,3,200.0,False,True,False,0,0,0,1,False,True,212.5467717538415,-23.565548593192712
600764.SH,中国海防,27.2,86584.35,235.50943200000003,0.0,0,0.0,0.0,2,200.00000000000003,False,True,False,0,1,0,1,False,True,89.14972273567494,-130.15354135710766
600779.SH,水井坊,38.72,56132.0,217.343104,0.0,1,133.88550757091704,162.14897973968166,4,162.14897973968166,False,True,False,0,0,1,0,True,False,113.16019842427764,-101.92493362297874
600789.SH,鲁抗医药,9.11,135022.71,123.00568880999998,0.0,0,0.0,0.0,2,200.00000000000003,False,True,False,0,0,0,1,False,True,-70.37037037037055,-142.1723469105012
600800.SH,渤海化学,3.48,743150.26,258.61629048000003,0.0,3,140.82251788342322,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-137.10104312626487,-138.88786255311297
600839.SH,四川长虹,9.15,1082571.87,990.5532610500002,0.0,0,0.0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,70.59614522635631,-97.17639447294266
600845.SH,宝信软件,20.52,99578.48,204.33504096,0.0,0,0.0,0.0,4,200.0,False,True,False,0,1,0,1,False,True,97.82945736434195,-107.29050070890256
600862.SH,中航高科,24.31,830628.71,2019.2583940099998,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,218.43971631205673,95.18981637940693
600867.SH,通化东宝,8.21,172880.93,141.93524353,130.79154608004484,3,130.79154608004484,0.0,0,0.0,True,False,False,0,0,0,0,False,False,-93.33333333333341,-108.34463430069601
600866.SH,星湖科技,6.84,146324.65,100.0860606,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,58.006927791100104,-72.77303567520265
600872.SH,中炬高新,17.2,60549.1,104.14445199999999,0.0,0,0.0,0.0,3,199.36664417604888,False,True,False,0,1,0,1,False,True,49.74974974975115,-112.30385687050867
600916.SH,中国黄金,8.11,196687.75,159.51376524999998,0.0,0,0.0,0.0,2,188.17735109801035,False,True,False,0,0,0,1,False,True,84.4580777096137,-64.8915187376732
600905.SH,三峡能源,4.11,725683.41,298.25588151000005,0.0,0,0.0,0.0,3,200.0,False,True,False,0,0,0,1,False,True,-63.157894736837825,-123.5294117647063
600941.SH,中国移动,100.58,177896.08,1789.27877264,0.0,0,0.0,155.46674915922551,3,155.46674915922551,False,True,False,0,0,0,1,False,True,-84.69045263178272,-186.45779216454258
600963.SH,岳阳林纸,4.63,508132.08,235.26515304,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,126.23118515271068,96.96969696969741
600975.SH,新五丰,5.92,173738.8,102.8533696,0.0,0,0.0,0.0,3,200.00000000000003,False,True,False,0,1,0,1,False,True,140.0000000000008,-123.73366869279695
601006.SH,大秦铁路,5.25,886866.4,465.60486000000003,138.1216163958856,1,138.1216163958856,196.53458565347208,4,196.53458565347208,False,True,False,1,0,1,1,True,True,-130.84636983554032,-140.97400219699747
601216.SH,君正集团,4.83,409287.57,197.68589631,0.0,0,0.0,0.0,4,200.0,False,True,False,0,1,0,2,False,True,97.38562091503313,-86.65458937198083
601390.SH,中国中铁,5.48,1198488.78,656.7718514400001,0.0,0,0.0,0.0,2,200.00000000000003,False,True,False,0,0,0,0,False,False,169.35483870967755,-61.098570353649365
601668.SH,中国建筑,5.22,1797254.49,938.1668437799999,0.0,0,0.0,0.0,3,143.06851661990405,False,True,False,0,1,0,2,False,True,134.08748114630438,-86.48255813953469
601728.SH,中国电信,6.28,1948697.02,1223.7817285600001,137.73082810126922,3,137.73082810126922,200.0,2,200.0,True,True,True,0,0,1,1,True,True,-179.0229885057466,-239.26689576174027
601766.SH,中国中车,6.91,780185.51,539.10818741,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,29.283489096572694,-102.06235011990391
601800.SH,中国交建,8.31,213007.95,177.00960645,0.0,0,0.0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,-41.912421805181374,-122.8645833333334
