symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly,day_blue_dates,week_blue_dates,heima_dates
000002.SZ,万科A,4.65,1075561.25,500.13598125,155.93956493606277,2,155.93956493606277,175.37334374963788,3,175.37334374963788,False,True,False,1,1,2,0,True,True,-133.3333333333328,-106.51337278871964,"[{'date': '2025-12-30', 'value': 138.0833084647299}, {'date': '2025-12-31', 'value': 155.93956493606277}]","[{'date': '2025-12-08', 'value': 197.5254528063147}, {'date': '2025-12-15', 'value': 200.0}, {'date': '2026-01-05', 'value': 175.37334374963788}]","['2025-12-22', '2025-12-30', '2025-12-31']"
000568.SZ,泸州老窖,116.22,58394.18,678.6571599600001,200.0,5,200.0,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-153.2036255664946,-144.93026719624473,"[{'date': '2025-12-24', 'value': 190.06695941303406}, {'date': '2025-12-26', 'value': 181.99832888652247}, {'date': '2025-12-29', 'value': 192.76231130883858}, {'date': '2025-12-30', 'value': 197.65577216069326}, {'date': '2025-12-31', 'value': 200.0}]",[],"['2025-12-31', '2026-01-05']"
000596.SZ,古井贡酒,132.6,36041.51,477.9104226,109.27548574117566,3,109.27548574117566,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-191.58281390714814,-186.93402732271153,"[{'date': '2025-12-29', 'value': 104.58917969944314}, {'date': '2025-12-30', 'value': 107.76587425560355}, {'date': '2025-12-31', 'value': 109.27548574117566}]",[],"['2025-12-31', '2026-01-05']"
000625.SZ,长安汽车,11.86,571077.15,677.2974998999999,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,27.896492651699,-54.954954954955284,[],"[{'date': '2025-12-08', 'value': 190.9615621679003}, {'date': '2025-12-15', 'value': 200.0}]",['2025-12-15']
000685.SZ,中山公用,11.65,436815.47,508.89002254999997,0.0,4,172.00052454544945,0.0,0,0.0,True,False,False,0,0,0,0,False,False,-9.800753904146827,-107.35049470274029,"[{'date': '2025-12-24', 'value': 162.38092258479122}, {'date': '2025-12-26', 'value': 157.6717500591868}, {'date': '2025-12-29', 'value': 167.53787999320858}, {'date': '2025-12-30', 'value': 172.00052454544945}]",[],[]
000729.SZ,燕京啤酒,11.23,274528.15,308.29511245000003,0.0,0,0.0,138.7603655654824,2,138.7603655654824,False,True,False,1,0,1,1,True,True,-141.61370246687463,-187.13759410539765,[],"[{'date': '2025-12-29', 'value': 125.15196446604806}, {'date': '2026-01-05', 'value': 138.7603655654824}]","['2025-12-30', '2025-12-31', '2026-01-05']"
000818.SZ,航锦科技,19.3,96880.47,186.9793071,0.0,0,0.0,0.0,3,200.0,False,True,False,0,0,0,1,False,True,84.55452356381173,-96.13920609026653,[],"[{'date': '2025-12-08', 'value': 178.90381223925488}, {'date': '2025-12-15', 'value': 193.55420045507523}, {'date': '2025-12-22', 'value': 200.0}]",['2025-12-22']
000858.SZ,五粮液,105.94,208676.82,2210.7222310800003,109.5046471699481,3,109.5046471699481,176.97329013457883,4,176.97329013457883,True,True,True,0,0,1,1,True,True,-179.5202060859767,-158.6943708812388,"[{'date': '2025-12-24', 'value': 104.1858066527144}, {'date': '2025-12-30', 'value': 105.64956257958683}, {'date': '2025-12-31', 'value': 109.5046471699481}]","[{'date': '2025-12-08', 'value': 152.61354394379316}, {'date': '2025-12-15', 'value': 171.30159693910704}, {'date': '2025-12-29', 'value': 166.51152699431353}, {'date': '2026-01-05', 'value': 176.97329013457883}]","['2025-12-31', '2026-01-05']"
000876.SZ,新希望,9.22,200919.47,185.24775134,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,84.08408408408417,-75.23739358218741,[],"[{'date': '2025-12-08', 'value': 177.09349865911125}, {'date': '2025-12-15', 'value': 200.0}]",['2025-12-15']
001286.SZ,陕西能源,9.31,142073.1,132.27005610000003,129.09655653619913,3,129.09655653619913,0.0,0,0.0,True,False,False,0,0,1,0,True,False,-212.94682073112955,-59.5181633845415,"[{'date': '2025-12-29', 'value': 100.06699507566356}, {'date': '2025-12-30', 'value': 118.09366031931846}, {'date': '2025-12-31', 'value': 129.09655653619913}]",[],['2025-12-31']
001391.SZ,国货航,5.92,282110.65,167.00950480000003,93.71370935043284,0,0.0,184.63778083015274,4,184.63778083015274,False,True,False,0,0,1,1,True,True,-273.14238273142337,-165.25134211810627,[],"[{'date': '2025-12-08', 'value': 193.98533399758264}, {'date': '2025-12-15', 'value': 198.04225553158025}, {'date': '2025-12-22', 'value': 200.0}, {'date': '2026-01-05', 'value': 184.63778083015274}]","['2025-12-31', '2026-01-05']"
002042.SZ,华孚时尚,4.25,514859.44,218.81526200000002,0.0,0,0.0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,172.18225419664387,-76.98744769874459,[],"[{'date': '2025-12-08', 'value': 178.90381223925488}, {'date': '2025-12-15', 'value': 193.55420045507526}, {'date': '2025-12-22', 'value': 200.0}]",['2025-12-22']
002081.SZ,金螳螂,3.42,561560.91,192.05383122,0.0,0,0.0,0.0,3,130.786261851437,False,True,False,0,0,0,0,False,False,72.75985663082447,32.462442847812156,[],"[{'date': '2025-12-08', 'value': 108.50780878750251}, {'date': '2025-12-15', 'value': 123.69557131669461}, {'date': '2025-12-22', 'value': 130.786261851437}]",[]
002123.SZ,梦网科技,12.16,284318.11,345.73082176,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,1,0,True,False,-155.7032115171651,5.218164409793451,[],"[{'date': '2025-12-08', 'value': 177.09349865911122}, {'date': '2025-12-15', 'value': 200.0}]",['2025-12-31']
002165.SZ,红宝丽,7.56,142134.91,107.45399196,0.0,0,0.0,0.0,3,171.7728566470523,False,True,False,0,0,0,1,False,True,-36.86576750160572,-98.75338753387543,[],"[{'date': '2025-12-08', 'value': 145.22558132277786}, {'date': '2025-12-15', 'value': 164.01006521681947}, {'date': '2025-12-22', 'value': 171.7728566470523}]",['2025-12-22']
002179.SZ,中航光电,35.44,499689.65,1770.9001196,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,108.3891120035699,-21.37236386528152,[],"[{'date': '2025-12-08', 'value': 196.95161328106002}, {'date': '2025-12-15', 'value': 200.0}]",[]
