symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,latest_day_blue_value,blue_weekly,max_blue_weekly,blue_weeks,latest_week_blue_value,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,has_day_juedi,has_week_juedi,latest_cci_daily,latest_cci_weekly,company_name
VTP,76.41,14837.0,113.36951699999999,185.36168342492667,195.4466709629496,3,185.36168342492667,0.0,0.0,0,0.0,False,0,0,0,1,False,False,False,True,-83.02551665526777,-117.98683366182578,Vanguard Total Inflation-Protection Securities ETF
CRCG,2.8696,8296718.0,2380.82619728,0.0,0.0,0,0.0,0.0,200.0,1,200.0,False,0,1,0,1,False,True,False,True,-38.61111867079355,-74.72142793699557,Leverage Shares 2X Long CRCL Daily ETF
TGL,5.55,471291.0,261.566505,113.98480431838233,113.98480431838233,1,113.98480431838233,140.1401444272385,149.21000503869288,4,140.1401444272385,True,0,0,0,1,False,False,False,True,-94.107677804517,-179.316144178071,Treasure Global Inc. Common Stock
ARM,120.39,4962169.0,59739.552591,86.95442915463767,86.95442915463767,2,86.95442915463767,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-218.3185840530453,-130.3104282097011,Arm Holdings plc American Depositary Shares
JAKK,16.49,60806.0,100.269094,0.0,0.0,0,0.0,0.0,121.51401654172572,1,121.51401654172572,False,0,0,0,1,False,False,False,True,-31.300112990255958,-58.823775787880216,Jakks Pacific Inc
UHAL.B,48.36,237213.0,1147.1620679999999,0.0,0.0,0,0.0,0.0,104.0657335894965,1,104.0657335894965,False,0,1,0,1,False,True,False,True,-24.623332221168333,-27.663944993814756,U-Haul Holding Company
SXC,6.935,573671.0,397.84083849999996,0.0,0.0,0,0.0,0.0,115.55830760621758,1,115.55830760621758,False,0,1,0,1,False,True,False,True,47.01771233461372,-47.003206445778275,SUNCOKE ENERGY INC
RC,2.215,7092494.0,1570.9874209999998,74.5262867937246,74.5262867937246,2,74.5262867937246,181.77826378889065,181.77826378889065,3,181.77826378889065,True,0,0,1,0,False,False,True,False,-199.84323558220595,-105.50913361735137,Ready Capital Corporation
SRTY,41.08,1461138.0,6002.354904,0.0,88.95223932424163,4,88.95223932424163,0.0,127.32684453485781,2,127.32684453485781,True,0,1,0,1,False,True,False,True,-12.218942199040637,-112.27610868532705,ProShares UltraPro Short Russell2000
NVOX,20.53,402363.0,826.051239,0.0,0.0,0,0.0,0.0,94.33258840115033,1,94.33258840115033,False,0,0,0,1,False,False,False,True,28.449530002709434,-53.446155441000464,Defiance Daily Target 2x Long NVO ETF
UVIX,7.085,32770245.0,23217.718582499998,0.0,64.69534924490993,3,64.69534924490993,0.0,69.66307958215636,0,0.0,False,0,0,0,1,False,False,False,True,-107.80566819425387,-159.97493412173023,2x Long VIX Futures ETF
RACE,369.91,464306.0,17175.143246,0.0,49.75727344186474,0,0.0,0.0,80.29235415634707,1,80.29235415634707,False,1,0,1,0,True,False,True,False,-78.93936782183336,-94.20042927937486,Ferrari N.V.
COTY,3.285,4404886.0,1447.0050509999999,0.0,0.0,0,0.0,0.0,118.36177994206754,1,118.36177994206754,False,0,1,1,1,False,True,True,True,-30.934742440725458,-79.48011027963766,COTY INC
MGEE,80.27,74330.0,596.6469099999999,0.0,0.0,0,0.0,0.0,200.0,3,200.0,False,0,0,0,1,False,False,False,True,50.62925447911512,-83.2205213648513,MGE Energy Inc
DMLP,21.8375,207176.0,452.42058999999995,0.0,0.0,0,0.0,0.0,106.86720455303696,2,106.86720455303696,False,0,0,0,1,False,False,False,True,-69.45834314880256,-106.98330718482937,Dorchester Minerals LP
ZTR,6.245,178655.0,111.57004750000002,52.57375807886746,60.04084762519505,3,52.57375807886746,0.0,0.0,0,0.0,False,0,0,0,1,False,False,False,True,-80.56898183042782,-119.44570441539594,Virtus Total Return Fund Inc.
IRBT,0.7901,74045931.0,5850.36900831,50.995657032598885,50.995657032598885,1,50.995657032598885,105.38403177351931,105.38403177351931,3,105.38403177351931,True,0,1,1,1,False,True,True,True,-115.72023925666774,-146.11316793109785,iRobot Corporation
DOMO,8.68,628803.0,545.801004,0.0,98.50362009887938,2,98.50362009887938,0.0,0.0,0,0.0,False,0,1,0,1,False,True,False,True,-63.749292881624584,-124.29355718870465,"Domo, Inc. Class B Common Stock"
XLU,43.145,13701616.0,59115.62223200001,0.0,63.15793713588846,1,63.15793713588846,0.0,0.0,0,0.0,False,1,0,1,0,True,False,True,False,-51.28421536900479,-87.36967554303638,State Street Utilities Select Sector SPDR ETF
DEI,11.565,1018925.0,1178.3867625,0.0,0.0,0,0.0,0.0,93.99890388725964,1,93.99890388725964,False,0,1,1,1,False,True,True,True,-130.78445929225452,-79.90255808151622,"Douglas Emmett, Inc."
TEN,22.71,208216.0,472.858536,106.97914736449984,106.97914736449984,2,106.97914736449984,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-170.38487448755114,-42.779920592581625,Tsakos Energy Navigation Ltd.
